prompt_id;prompt;response_id;user_id;response;data_id;check_response_id;check_user_id;check_response;check_type
285963;Apa saja hal yang membuat kamu merasa dicintai?;6892;169;kae pelin hal si mahan kao mekhase ni cintai;3;7006;0;apa saja hal yang membuat kamu merasa di cintai;checkData
285965;Jika boneka bisa berbicara, hal apa saja yang akan mereka sampaikan?;7662;328;aku boneka si kenin get ate bende kenin ase ku leloken;3;8965;472;aku boneka kalian enak kalian rasa sini maenkan aku;dailyCheck
285968;Mengapa seseorang dapat menangis bahagia?;3736;214;buesene kadang kadangpe gat uwas atene putus cinte ataupe dang galau munking kene musibah edi mahanse iye luakhen lawe mate;3;7909;334;banyak uangnya kadang selalu kasihan putus cintanya ataupun sekali galau mungkin karena musibah yang menimpa ya membuat iya mengeluarkan air mata;dailyCheck
286000;Bagaimana cara kamu menenangkan diri?;7731;334;sante sesade minum kopi Gat takhik khokok;3;10073;478;santai senditi minum kopi terus tarik rokok ;checkData
286004;Apa kenangan favoritmu tentang hubungan dengan pasanganmu?;7737;334;lajang kami dang aku kuliah Medan kale pakek sen gaji pertama mebahanku ni medan;3;8372;397;kami pergi jalan-jalan sewaktu aku kuliah di Medan dengan menggunakan uang gaji pertama bekerja di Medan dulu;dailyCheck
286027;Misalnya kamu meninggal tiba-tiba malam ini. Apa kamu akan menyesal karena belum sempat menyampaikan hal pada seseorang? Lalu mengapa kamu masih menyimpannya?;2313;214;perbaikin dikhi tutukh kate,  bahase khut keperibadien kite sewakhi-wakhi;3;9711;478;perbaikin diri tutur kata bahasa dan keperibadian kita sehari-hari ;dailyCheck
286048;Menurutmu apa itu IQ (Intelligence quotient) atau kecedasan intelektual? Menurutmu seberapa penting hal itu?;4053;214;kecerdasen jeme waktu menyelesaiken soal bagas ngeluh ataupe soal tes bagas buku;3;10594;399;kecerdasan orang di waktu menyelesaikan permasalahan  dalam hidup ataupun soal dalam buku;dailyCheck
286049;Menurutmu apa itu EQ (Emotional quotient) atau kecedasan emosional? Menurutmu seberapa penting hal itu?;8020;272;menukhut mu kae edi EQ(emotionalquotient) ato kebacakhen emosional?;3;10392;434;menurut kamu apa itu EQ (Emotional Quotient) atau kecerdasan Emosional;dailyCheck
286050;Menurutmu apa itu SQ (Spiritual quotient) atau kecedasan spritual? Menurutmu seberapa penting hal itu?;8024;272;menukhut mu ketekhe pentingne hal adi?;3;10417;412;menurut mu kekmna penting ya hal di sini;dailyCheck
286051;Apa saja hal yang suka kamu lamunkan?;4090;214;mikekhi mase depan ntah digan nemu digan nemu aku nde sukses edi dang mahan aku melamun;3;10517;438;mikirin masa depan entah kapan bisa kapan bisa aku jadi sukses itu yang membuat aku melamun;dailyCheck
286074;Bagaimana kebijakan daerah tempat kamu tinggal dalam pengelolaan sampah?;8310;334;Ajukan nggak cair cairAjukan nggak cair cairAjukan nggak cair cair;3;13149;552;Ajukan tidar cair Cair Ajukan tidak cair cair Ajukan tidak cair cair;dailyCheck
286076;Apa saja hal yang membuat kamu sayang dengan pasanganmu?;8312;334;Ajukan nggak cair cairAjukan nggak cair cair;3;10696;421;ajukan gak cair cair ajukan gak cair cair;dailyCheck
286077;Menurutmu, apa saja hal yang termasuk dikatakan dengan selingkuh?;4098;214;mekhe perhatien me khalak lain laus lajang gat mangan gat tandok due alak amin edi si malot nemu kite lakuken;3;10105;478;kasih perhatian sama orang lain pergi jalan-jalan terus makan terus duduk dua orang saja itu tidak bisa kita lakukan ;checkData
286094;Apa saja kekurangan berbelanja di supermarket?;9436;432;malet daye tomat sayo nangke  pe malet;3;9905;478;malet Daye tomat sayur nangka pun tidaj ada;checkData
286103;Bagaimana pandanganmu terhadap kematian?;9632;205;Ulang  biakh kane kite beriman  me metuah kite;3;14577;443;jangan takut supaya kita beriman dengan tuhan kita;checkData
286114;Bagaimana cara merawat hewan peliharaan?;9659;427;mejile pelakhe, ulang pepelin pok-pok i;3;13081;478;bagus pelihara jangan asik pukul pukuli ;dailyCheck
286119;Kenapa seseorang mengatakan hal yang menyenangkan?;9783;205;kane iye nangat  me kite;3;10667;399;karena diya suka kepada kita dan dia menyukai kita;dailyCheck
286129;Bagaimana rasanya jatuh cinta?;9969;471;jatuh cinte hal si malet nemu ni cekhok ken sebab nye terjadi secakhe ndak sadakh;3;14202;560;jatuh cinta hal yang tidak bisa di ceritakan sebab dia terjadi secara tidak sadar;checkData
286131;Ceritakan pengalamanmu hari ini?;9993;471;wakhi nde aku mengikuti pelatihen aplikasi khut kiki;3;14072;575;hari ni aku mengikuti pelatihan aplikasi dengan kiki;checkData
286206;Bagaimana cara kamu menentukan prioritas dalam hidup kamu?;3914;214;pilih kae si benakh ulang tukhuti napsu kase selamat;3;14192;575;pilih apa yang benar jangan turuti nafsu biar selamat;checkData
286240;Mengapa terorisme sulit diberantas?;10740;519;kakhene jakhingenne cukup luas dan saling bekhkaiten tentang dunie politik;3;14903;536;Karena jaringannya cukup luas dan saling berkaitan tentang dunia politik;checkData
286245;Menurutmu, hal apa saja yang dapat memecah Indonesia?;10758;525;menukhut mu,kae plin si memecah indonesia;3;14438;517;menurut kamu, apa saja yang memecahkan Indonesia;checkData
286283;Menurutmu bagaimana hewan dapat memahami kita?;11190;521;hewan dapet memahami kite khahene ekpresi kite;3;14327;560;hewan dapat memahami kita karena ekspresi kita;checkData
286290;Apa saja hal yang paling kamu syukuri?;11233;489;Nemu geluh khut khang tue ngidah cikhem khang tue;3;14088;575;bisa hidup dengan orang tua lihat senyum orang tua;checkData
286294;Hal-hal apa yang biasanya kamu lakukan saat tidak bisa tidur di malam hari?;11427;554;melelo hp, kadang kadang masuhi pikhing;3;12844;560;bermain handphone, kadang kadang nyuci piring;dailyCheck
286302;Dapatkah kamu menceritakan bagaimana kamu sebagai seorang anak?;11472;499;kadang Loet mekhase senang khut sedihne;3;12693;378;kadang ada yang merasa senang dan ada yang sedih;dailyCheck
286311;Apa saja kriteria orang yang dapat kamu percaya?;11560;497;jeme ne biase plin dan ulang penah bual;3;13420;212;orang ya biasa aja dan tidak pernah bohong;dailyCheck
286315;Apa saja menurutmu hal-hal yang tidak dapat dibeli dengan uang?;11643;517;hakhge dikhi, kasih sayang khang tue, kedameen keluarge;3;14209;575;berserah diri, kasih sayang orang tua, Kedamean keluarga;checkData
286317;Hal apa saja yang ingin kamu lakukan di masa depan?;11669;559;petame si nangat ku lakukan iyalah menjadi seokhang amek si nemu mendidik anak ne hingge sukses;3;14420;576;pertama yang ingin aku lakukan adalah menjadi seorang ibu yg bisa mendidik anak hingga sukses;checkData
286324;Bagaimana kamu menghadapi semua ketakutanmu?;4527;214;berani ulang biakh hakhus semangat ulang lemes;3;14538;538;berani jangan takut harus semangat jangan lemas;checkData
286333;Menurut kamu, apa saja yang kamu butuh persiapkan sebelum pensiun?;5661;214;keuangan dan usaha itu yang perlu di siapkan sebelum pensiun;3;5971;171;keuangan dan usaha itu yang perlu disiapkan sebelum pensiun ;dailyCheck
286334;Menurut kamu, apa saja yang kamu butuhkan saat ingin membangun usaha?;3564;214;si ni butuhken, niat si belin,  ide kite, ketabahen kite,  gagasen kite,  niat kite dan selelu berkeja khekhas ulang penah mengeluh dan tetap semangat;3;14911;538;yang dibutuhkan, niat yang besar, ide kita, ketabahan kita, gagasan kita, niat kita dan selalu bekerja keras jangan pernah mengeluh dan tetap semangat;checkData
286339;Ceritakan tentang milikmu yang paling berharga.;12016;492;aku bahagie kakhe khang tue ku tong kidah senakhen cikhem side;3;14657;535;aku bahagia karena orang tua ku masih kulihat selalu senyumannya ;checkData
286362;Ceritakan tentang cara menarik untuk bertemu orang baru.;12320;485;kenalen dan buat cerita khut khut iye dan bahas Mase depan;3;13851;500;kenalan dan bikin cerita dengan dia dan bahas masa depan ;checkData
285941;Ceritakan keadaan kamu dalam beberapa tahun ke depan?;3672;214;suksek bagie malot kaepe si kukhang tel me misalne keadaenku di pige tahun kendatas;3;13471;525;sukses lah setidaknya tidak ada apa pun yang kurang itu lah misalnya keadaan ku tu berapa tahun ke atas;dailyCheck
285943;Mengapa kamu mendedikasikan waktumu untuk suatu hal?;7629;328;kae gat kao korbanken waktumu untuk sebuah hal?;3;10490;438;kenapa kau korbankan waktumu untuk sebuah hal? ;dailyCheck
285944;Hal apa saja yang dapat menjadikna kamu seorang profesional di bidangmu?;7630;328;hal kae pelin si nemu menjadiken kandu   kalak ahli ni bidang ndu?;3;10581;399;masalah apa saja yang kamu membuat orang atau orang lain di ahli bidang kamu ?;dailyCheck
285945;Kontribusi apa saja yang dapat kamu tawarkan untuk lingkungan di seskitarmu?;3198;249;kontribusi kae pelin si dapet kao tawakhken untuk lingkungen ni sekitakh mu;3;6909;169;kontribusi apa saja yang dapat kamu berikan untuk lingkungan sekitar mu;dailyCheck
285950;Apa saja motivasi kamu dalam bekerja?;7632;328;motivasi ku bagas mebahan  kakhene aku nangat jadi kalak sukses ni bidang ku ni, dape pe aku mabahan aku nangat mebahan bagas sebuah tim untuk memajuken kas mebahan ku sokhte meningkatken pengalamenku;3;10462;412;motivasi ku dalam kerja karena aku pingin jadi orang sukses di bidang ku ni,mana pun aku kerja aku pingin dalam sebuah tim untuk memajukan tempat kerja ku serta meningkatkan pengalaman ku;dailyCheck
285952;Apa saja hal yang menarik minat kamu?;1512;201;hal si paling menakhik minat ku Edi melelo bola;3;13485;525;hal yang paling menarik minat saya itu bermain bola;dailyCheck
285953;Apa saja hal yang kamu harapkan dalam kehidupanmu?;7636;328;semoge aku sukses ni mase depan nemu jadi bagien kebangga'en khang'tue ku kelak pagi;3;8328;374;semoga sukses dimasa depan bisa jadi bagian kebanggaan orang tuaku kelak besok;dailyCheck
285956;Menurutmu bagaimana kabar semua temanmu saat ini?;7649;328;mungkin sehat mungkin lebe go jadi alm;3;9162;478;mungkin sehat mungkin sebagian udah almarhum;dailyCheck
285958;Apa saja hal yang ingin kamu lakukan dalam hidup ini?;7656;328;hidup dame, tenang, malot kebisingen, sehat badan, mukhakh khajeki;3;9509;472;hidup damai, tenang,gak ada kebisingan,sehat badan,murah rezeki;dailyCheck
285959;Apa saja hal yang ingin kamu capai dalam hidup ini?;3837;214;jadi khalak soleh jadi khalak bayak begune me khalak si tekhe ulang jahat ulang jadi jemen laknat khut jeme si pepelin kumat nangat buah aku umrohken khabg tueku kane nemu laus me tanoh suci mekah al mukaramah ;3;10738;400;jadi orang saleh jadi orang saleh banyak berguna bagi orang tapi kalo orang jahat jangan jadi jaman laknak bersama orang yang setiap suka buah aku umrohken orang tua ku agar bisa pergi ke tanah suci Mekkah almukaramah;dailyCheck
285960;Apa yang kamu harapkan saat bangun tidur?;7657;328;semoge semangat jiwa mudaku pulih nemu bermanfaat untuk kalak lain;3;13447;378;semoga semangat jiwa mudaku sembuh bisa bermanfaat untuk orang lain ;dailyCheck
285961;Mengapa anak-anak sangat menyukai film kartun?;7658;328;kakhne lucu, te malot lucu malet tonton kalak;3;13444;560;karena lucu kalau tidak lucu orang tidak mau menontonnya;dailyCheck
285963;Apa saja hal yang membuat kamu merasa dicintai?;6892;169;kae pelin hal si mahan kao mekhase ni cintai;3;7848;334;apa saja hal yang membuatmu merasa di cintai ;dailyCheck
285965;Jika boneka bisa berbicara, hal apa saja yang akan mereka sampaikan?;7662;328;aku boneka si kenin get ate bende kenin ase ku leloken;3;10502;438;aku boneka yang kalian suka sini kalian agar ku mainkan;dailyCheck
285968;Mengapa seseorang dapat menangis bahagia?;7665;328;kakhne tekhakhu senang su ate ne lenih senang ne;3;9437;472;karena terharu senang kali hati ni lebih senang ni;dailyCheck
286000;Bagaimana cara kamu menenangkan diri?;7731;334;sante sesade minum kopi Gat takhik khokok;3;15392;575;santai sendiri minum kopi terus tarik rokok. ;
286004;Apa kenangan favoritmu tentang hubungan dengan pasanganmu?;7737;334;lajang kami dang aku kuliah Medan kale pakek sen gaji pertama mebahanku ni medan;3;13142;420;jalan-jalan kami sedang aku kuliah Medan dulu pakek uang gaji pertama kerjaku di medan;dailyCheck
286027;Misalnya kamu meninggal tiba-tiba malam ini. Apa kamu akan menyesal karena belum sempat menyampaikan hal pada seseorang? Lalu mengapa kamu masih menyimpannya?;2313;214;perbaikin dikhi tutukh kate,  bahase khut keperibadien kite sewakhi-wakhi;3;13164;420;perbaiki diri tata krama kata, bahasa dan kepribadian kita sewaktu waktu ;dailyCheck
286048;Menurutmu apa itu IQ (Intelligence quotient) atau kecedasan intelektual? Menurutmu seberapa penting hal itu?;4053;214;kecerdasen jeme waktu menyelesaiken soal bagas ngeluh ataupe soal tes bagas buku;3;12842;560;kecerdasan orang waktu menyelesaikan soal dalam ngeluh atau pun soal Tes dalam buku;dailyCheck
286049;Menurutmu apa itu EQ (Emotional quotient) atau kecedasan emosional? Menurutmu seberapa penting hal itu?;8020;272;menukhut mu kae edi EQ(emotionalquotient) ato kebacakhen emosional?;3;12470;560;menurut mu apa itu EQ atau kepintaran emosional;dailyCheck
286050;Menurutmu apa itu SQ (Spiritual quotient) atau kecedasan spritual? Menurutmu seberapa penting hal itu?;8024;272;menukhut mu ketekhe pentingne hal adi?;3;12568;560;menurutmu cemana pentingnya masalah itu?;dailyCheck
286051;Apa saja hal yang suka kamu lamunkan?;4090;214;mikekhi mase depan ntah digan nemu digan nemu aku nde sukses edi dang mahan aku melamun;3;13080;478;mikiri masa depan ntah kapan bisa kapan bisa aku ni sukses itu sedang membuat aku melamun;dailyCheck
286074;Bagaimana kebijakan daerah tempat kamu tinggal dalam pengelolaan sampah?;8310;334;Ajukan nggak cair cairAjukan nggak cair cairAjukan nggak cair cair;3;13450;525;ajukan nggak cair cair ajukan nggak cair cair ajukan nggak cair cair;dailyCheck
286076;Apa saja hal yang membuat kamu sayang dengan pasanganmu?;8312;334;Ajukan nggak cair cairAjukan nggak cair cair;3;12600;560;ajukan nggak cair cair ajukan nggak cair cair;dailyCheck
286094;Apa saja kekurangan berbelanja di supermarket?;9436;432;malet daye tomat sayo nangke  pe malet;3;10504;438;tidak ada jual tomat sayur juga tidak ada;checkData
286103;Bagaimana pandanganmu terhadap kematian?;9576;415;perbue lah ibadah sebelum menghadepi se kase let bakal akhirat te;3;15041;575;perbanyak lah ibadah sebelum menghadapi biar ada bakal akhirat kita;checkData
286114;Bagaimana cara merawat hewan peliharaan?;9659;427;mejile pelakhe, ulang pepelin pok-pok i;3;13277;516;bagus di pelihara, Jangan asik di pukulin;dailyCheck
286119;Kenapa seseorang mengatakan hal yang menyenangkan?;9783;205;kane iye nangat  me kite;3;12936;560;karena seseorang itu sangat menyukai kita;dailyCheck
286129;Bagaimana rasanya jatuh cinta?;9969;471;jatuh cinte hal si malet nemu ni cekhok ken sebab nye terjadi secakhe ndak sadakh;3;15932;378;jatuh cinta hal yang tidak mungkin di ceritakan sebab nya terjadi secara nggak sadar;
286131;Ceritakan pengalamanmu hari ini?;9993;471;wakhi nde aku mengikuti pelatihen aplikasi khut kiki;3;15271;378;hari ini aku mengikuti pelatihan aplikasi bersama kiki;
286206;Bagaimana cara kamu menentukan prioritas dalam hidup kamu?;3914;214;pilih kae si benakh ulang tukhuti napsu kase selamat;3;14735;517;pilih apa yang benar jangan turuti nafsu biar selamat;
286240;Mengapa terorisme sulit diberantas?;10740;519;kakhene jakhingenne cukup luas dan saling bekhkaiten tentang dunie politik;3;15800;522;karna jaringannya cukup luas saling berkaitan dengan dunia politik ;
286245;Menurutmu, hal apa saja yang dapat memecah Indonesia?;10758;525;menukhut mu,kae plin si memecah indonesia;3;15125;443;menurut mu, apa yang telah memecahkan Indonesia ;
286283;Menurutmu bagaimana hewan dapat memahami kita?;11190;521;hewan dapet memahami kite khahene ekpresi kite;3;14516;517;hewan bisa memahami kita karena ekspresi kita;
286290;Apa saja hal yang paling kamu syukuri?;11233;489;Nemu geluh khut khang tue ngidah cikhem khang tue;3;15292;378;bisa hidup sama orang tua melihat senyum orang tua;
286294;Hal-hal apa yang biasanya kamu lakukan saat tidak bisa tidur di malam hari?;11427;554;melelo hp, kadang kadang masuhi pikhing;3;13240;420;bermain hp, kadang-kadang mencuci piring ;dailyCheck
286302;Dapatkah kamu menceritakan bagaimana kamu sebagai seorang anak?;11472;499;kadang Loet mekhase senang khut sedihne;3;12720;560;kadang merasa senang kadang merasa sedih;dailyCheck
286311;Apa saja kriteria orang yang dapat kamu percaya?;11560;497;jeme ne biase plin dan ulang penah bual;3;13511;525;orang nya biasa biasa saja dan jangan pernah bohong;dailyCheck
286315;Apa saja menurutmu hal-hal yang tidak dapat dibeli dengan uang?;11643;517;hakhge dikhi, kasih sayang khang tue, kedameen keluarge;3;15918;485;harga diri,kasih sayang orang tua, kedamaian keluarga ;
286317;Hal apa saja yang ingin kamu lakukan di masa depan?;11669;559;petame si nangat ku lakukan iyalah menjadi seokhang amek si nemu mendidik anak ne hingge sukses;3;14463;212;yang pertama yang ingin ak lakukan adalah menjadi seorang ibu yang bisa mendidik anak2 ku hingga sukses;
286324;Bagaimana kamu menghadapi semua ketakutanmu?;4527;214;berani ulang biakh hakhus semangat ulang lemes;3;14648;535;berani jangan takut harus semangat jangan lemas;
286333;Menurut kamu, apa saja yang kamu butuh persiapkan sebelum pensiun?;5661;214;keuangan dan usaha itu yang perlu di siapkan sebelum pensiun;3;7889;334;keuangan dan usaha itu yang perlu disiapkan sebelum bensin;dailyCheck
286334;Menurut kamu, apa saja yang kamu butuhkan saat ingin membangun usaha?;3564;214;si ni butuhken, niat si belin,  ide kite, ketabahen kite,  gagasen kite,  niat kite dan selelu berkeja khekhas ulang penah mengeluh dan tetap semangat;3;14942;494;yang di butuhkan, niat yang baik, ide kita, katabahan kita, gagasan kita, niat kita dan selalu bekerja keras jangan pernah mengeluh dan tetap semangat ;
286339;Ceritakan tentang milikmu yang paling berharga.;12005;554;si paling mehakhge ne kedue khangtue ku;3;12584;560;yang paling berharga kedua orang tua saya;dailyCheck
286362;Ceritakan tentang cara menarik untuk bertemu orang baru.;12320;485;kenalen dan buat cerita khut khut iye dan bahas Mase depan;3;14261;560;kenalan dan buat cerita bersama dia dan bahas masa depan;
287527;Apa cerita atau kisah favorit yang ingin Anda bagikan dengan orang lain?;8111;334;nggak ada cerita favorit biase amin kekhine;3;10739;438;tidak ada cerita favorit biasa cuma semua;dailyCheck
287543;Ceritakan pengalaman yang berkesan atau bermakna yang Anda miliki saat menghabiskan waktu bersama keluarga atau orang yang dicintai.;6980;272;tempat bayak pemandangan dan tempat alam indah;3;14119;575;tempat buwe pemandangan dan tempat alam indah;checkData
287615;Ceritakan mengenai peran mendongeng, cerita rakyat, atau tradisi lisan dalam budaya Anda?;8118;334;cekhite si layakh khut bekhu dinem amin edipe kukhang aku meroh;3;10099;409;cerita si layakh dan bekhu dinam cuman itupun kurang tau ;dailyCheck
287620;Ceritakan peran alam dan lingkungan dalam budaya Anda, termasuk tradisi atau praktik unik?;8126;334;ceritakan peran alam di lingkungan termasuk tradisi batik;3;12969;560;ceritakan peran alam di lingkungan termasuk tradisi batik;dailyCheck
287629;Ceritakan tentang suatu adat atau kebiasaan unik dari budaya daerah atau negara Anda.;8143;334;ceritakan tentang sesuatu adat atau kebiasaan unik dari budaya daerah atau negara Anda;3;12959;560;ceritakan tentang satu adat atau kebiasaan unik dari budaya daerah atau negara Anda;dailyCheck
287630;Ceritakan tentang tempat yang pernah Anda kunjungi yang memiliki nilai sejarah atau tradisi budaya yang kaya?;8144;334;ceritakan tentang tempat yang pernah anda kunjungi yang memiliki nilai sejarah atau tradisi budaya;3;12945;560;ceritakan tentang tempat yang pernah anda kunjungi yang memiliki nilai sejarah atau tradisi budaya;dailyCheck
287637;Bagaimana Anda biasa merencanakan anggaran dan memastikan dana mencukupi ketika ingin melakukan program atau proyek besar?;8151;334;bagaimana anda biasa merencanakan anggaran dan memastikan dana mencukupi ketika ingin;3;10676;400;bagaimana anda biasa merencanakan anggaran dan memastikan dana mencukupi ketika ingin;dailyCheck
287638;Bagaimana Anda biasanya melakukan perawatan rutin pada tumbuhan atau kebun Anda?;8582;399;bekhsihken siram khut lawe setiap wakhi;3;12893;560;bersihkan siram dengan air bersih setiap hari;checkData
287650;Bagaimana cara Anda menyelesaikan sebuah pekerjaan yang sulit?;8847;427;bahani dengan teliti, sabakh, ulang lupe medoe me Allah;3;14518;517;kerjakan dengan teliti , sabar, jangan lupa berdoa sama Allah;checkData
287652;Bagaimana yang anda lakukan ketika ingin mempersiapkan sebuah rapat atau pertemuan?;8798;464;harus disiflin tepat waktu ulang telambat me ruanggen;3;14704;212;harus di siplin tepat waktu jangan terlambat masuk ke ruangan;checkData
287653;Berikan instruksi langkah demi langkah cara mempersiapkan diri untuk beribadah di tempat ibadah Anda?;8878;408;ketekhe cakhe kenin medalani pesiapen untuk sembayang;3;13855;494;katakan cara kamu mendalami persiapan untuk sembahyang;checkData
287654;Berikan instruksi langkah demi langkah cara menuju ke kota terdekat di daerah Anda?;8892;409;rumahku denoh te sikel me kota jarak ne palingen 15 menit amin karena rumahku me kota denoh amin;3;14163;575;rumah ku deat  siapa yang mau ke kota jarak ya paling 15 menit aja karena rumah ku ke kota dekat aja;checkData
287655;Berikan instruksi langkah demi langkah cara untuk membeli makanan?;8909;421;buet ken sen habis edi cari bakhang habis edi kite kheken me khasir;3;14807;575;buat kan uang habis itu cari barang habis itu kita kasih ke kasir;checkData
285931;Menurutmu bagaimana pernikahan seharusnya?;1466;201;nikahen sehakhusne Edi hakhus khesmi agama atope negakhe, ;3;13156;420;nikahan seharusnya itu harus resmi agama ataupun negara;dailyCheck
285944;Hal apa saja yang dapat menjadikna kamu seorang profesional di bidangmu?;7630;328;hal kae pelin si nemu menjadiken kandu   kalak ahli ni bidang ndu?;3;10599;477;hal apa saja yang bisa menjadikan kamu orang ahli di bidang mu;dailyCheck
285945;Kontribusi apa saja yang dapat kamu tawarkan untuk lingkungan di seskitarmu?;3679;214;berbgai khut bermanfaat untuk khalak khe ide positif edi me si nemu kukheken ide untuk lingkungen ni kuteku;3;13032;471;berbagai hal yang positif dan dapat bermanfaat untuk seseorang di sekeliling ku teruma orang di kampung tempat tinggal ku;dailyCheck
285950;Apa saja motivasi kamu dalam bekerja?;7632;328;motivasi ku bagas mebahan  kakhene aku nangat jadi kalak sukses ni bidang ku ni, dape pe aku mabahan aku nangat mebahan bagas sebuah tim untuk memajuken kas mebahan ku sokhte meningkatken pengalamenku;3;12927;560;motivasiku di dalam bekerja karena aku ingin menjadi orang sukses di bidang hukum di manapun Aku bekerja aku ingin membentuk sebuah tim untuk mau bajukan tempat bekerja aku sampai meningkatkan pengalamanku;dailyCheck
285953;Apa saja hal yang kamu harapkan dalam kehidupanmu?;3896;214;bermanfaat me jeme si tekhem edi mesiku khakhapken;3;7676;319;bermanfaat untuk orang ramai itu yang saya harapkan ;dailyCheck
285956;Menurutmu bagaimana kabar semua temanmu saat ini?;7649;328;mungkin sehat mungkin lebe go jadi alm;3;9366;472;mungkin sehat mungkin Luan jadi almarhum;dailyCheck
285958;Apa saja hal yang ingin kamu lakukan dalam hidup ini?;7663;319;hal yang ingin kubahani ni Bagas geluhku,pebue ibadah,medoe tebeken Allah moge mbue khezeki ni bekheken side,nemu umroh tiap tahun,nemu nekolahken anak Kane anak2 jadi anak yg shaleh dan shaleha;3;8435;406;hal yang ingin kujalani didalam hidupku, perbanyak ibadah, berdo'a kepada ALLAH semoga diberikan rezeki berlimpah, bisa umroh tiap tahun,bisa menyekolahkan anak supaya anak anak menjadi anak yang shaleh dan shaleha;dailyCheck
285963;Apa saja hal yang membuat kamu merasa dicintai?;6892;169;kae pelin hal si mahan kao mekhase ni cintai;3;13087;552;apa saja hal yang membuat kamu merasa di cintai;checkData
285968;Mengapa seseorang dapat menangis bahagia?;7665;328;kakhne tekhakhu senang su ate ne lenih senang ne;3;13191;420;karena terharu senang kali hatinya dan lebih senang nya;dailyCheck
