Alas;Indo;Domain;;History;Instructions;Culture/Tourism;Story/narrative;
saling membantu ;;NULL;;;;;;
khakhene penting untuk ni lakuken;karena sangat penting untuk dilakukan karena sangat penting untuk dilakukan;NULL;;;;;;
saling memberikan pendapat ;;NULL;;;;;;
mek ku tong sehat plin ;;NULL;;;;;;
seperti harapan dan keinginan saya;;NULL;;;;;;
karene jujukh edi sangat penting;;NULL;;;;;;
kakhene Ni bagas kejujukhen Lot ketenange ni dikhi kite;;NULL;;;;;;
ketenangan Bagas geluh nde ;;NULL;;;;;;
ge ken,dan usaheken kae pe si ni kritik;;NULL;;;;;;
atak aja;;NULL;;;;;;
membace;;NULL;;;;;;
ibadah,panganen,dan hubungen;;NULL;;;;;;
bage Kalak luakh negekhi e ;;NULL;;;;;;
maso sibuk;tidak usah sibuk berarti tidak usah ikut campur dengan urusan orang lain;NULL;;;;;;
medem;;NULL;;;;;;
pekhatien bane;;NULL;;;;;;
kakhene iye khajin belajakh;;NULL;;;;;;
tetap mepikekhen positif;;NULL;;;;;;
hal kae plin mengganggumu;;NULL;;;;;;
kae pelit hal yang membuat  kandu mengse  pang;;NULL;;;;;;
menukhutmu,kae pelin si kau butuh pekhsiap ken sebelum pensiun;;NULL;;;;;;
mendapetken kemudahen dalam hal kae pe;;NULL;;;;;;
kae pelit saja yang paling kandu nangat  khamah  mu;;NULL;;;;;;
dokho,kakhene uwak ku e okhang tue ku;;NULL;;;;;;
lakhi lakhi khut imbang imbang ;;NULL;;;;;;
ukhok nayukh;;NULL;;;;;;
Cekhiteken kejadien sipaling memeleken ni bagas geluh mu;;NULL;;;;;;
kesehaten khut kajeki;;NULL;;;;;;
mbue;;NULL;;;;;;
dabuh mehonda;;NULL;;;;;;
kakhene khami khami;;NULL;;;;;;
bahasa indonesia sangat penting dlm kehidupan sehari,,;;NULL;;;;;;
pemales khut ikut campukh;;NULL;;;;;;
kae mampu, kae let bangku;apa yang aku mampu apa yang ada pada diriku;NULL;;;;;;
ku ne cakhene kao nyeleseiken masalah;;NULL;;;;;;
cekhiteken tentang tekhedisi keluakhgemu;;NULL;;;;;;
melelo khut khidi;;NULL;;;;;;
Culas khut penduste;;NULL;;;;;;
kae pelit mejile  kalak lain pengurus khumah tangge yang mantap ;;NULL;;;;;;
kae kesan kandu khut   aplikasi  de;;NULL;;;;;;
kae jeme dapet tangis sedih ne;;NULL;;;;;;
menukhutmu, kae plin baik akhi dunie?;;NULL;;;;;;
kenangen kae plin yang paling bukhuk yang penah kau alami ;;NULL;;;;;;
kae pe mu kau bahani asal kau senang mbelajakhi bahase lain ;;NULL;;;;;;
kae keluarge penting untukmu? kae ngat gedi;;NULL;;;;;;
kae plin yang dapet bahanmu kecewe ;;NULL;;;;;;
kae plin yang kau sanggati akhi pasangenmu;;NULL;;;;;;
kae mahan kau senangken dikhi?;hal apa yang dapat membuat kamu menyenangkan diri?;NULL;;;;;;
kae plin ulah mu si kau munyanggi dikhimu;;NULL;;;;;;
dape akhi kite senine?;;NULL;;;;;;
kakhene sampah sifatne bau khut cemak jadi hakhus ni kelole kane ndak menumpuk;;NULL;;;;;;
keluarge khut kesehaten;;NULL;;;;;;
si kutayaken kune keadaan mu, nangat man kae kokhmu;;NULL;;;;;;
let masalah;;NULL;;;;;;
sehat plin;;NULL;;;;;;
salah malet mu sebab rahasie;;NULL;;;;;;
jelasken sejakhah kegelukhenmu;;NULL;;;;;;
kae pelin hal si kao get bahani khut imbang-imbang mu;;NULL;;;;;;
kae pelin kenangen si mahan kao bahagie?;;NULL;;;;;;
suakhe-suakhe bage kae si malet kao getti?;;NULL;;;;;;
kae pelin khencane mu tentang hubungen mu khut pasangan mu;;NULL;;;;;;
menurut mu kae  gat pot membace ni indonesia kelok khendah ne;;NULL;;;;;;
makai dalani;;NULL;;;;;;
kane ukhok kaepe,  kane bacakh,  kane pintekh;;NULL;;;;;;
si kenangen palin mekesan bagas ngelukhku khyaka khalihen,  khut pemilihan dutawisata,  pramuka me luakh daerah,  khut festival payung,  khut lomba-lomba, khut ateletik bage lempar lembing,  tolak peluru, renang;;NULL;;;;;;
khut lomba renang;;NULL;;;;;;
nis sayang, ni perhatiken,  nimasihi;;NULL;;;;;;
ngati ngechat anak khalak lewat wa khut fb;;NULL;;;;;;
tentang keluarga dan aib kite;;NULL;;;;;;
medem khut sepuk;;NULL;;;;;;
ape me kutoh;;NULL;;;;;;
Menurut kamu, Pelajakhen kae si paling megune ni sekolah dan kae sebabne?;;NULL;;;;;;
kae kalak di tawe?;;NULL;;;;;;
bue si kulakuken, ngopi khut imbang,  lajang,  gakham khajeki;;NULL;;;;;;
berjuang ni titi paling tekhuh ketike kite malot lot kaepe;;NULL;;;;;;
mimpi si mejileni, mimpi jadi kebangaen negara khut agame;;NULL;;;;;;
pola pikir mencerminken kedewasaen;;NULL;;;;;;
kebahagiaen khoh kane kite selalu bersyukur dengan si kite miliki;;NULL;;;;;;
perbaikin dikhi tutukh kate,  bahase khut keperibadien kite sewakhi-wakhi;perbaikin diri tutur kata bahasa dan keperibadian kita sehari-hari ;NULL;;;;;;
makai pe;;NULL;;;;;;
kalak susah kakhene menolong;;NULL;;;;;;
jujukh;;NULL;;;;;;
tentang ilmu;;NULL;;;;;;
malet;;NULL;;;;;;
cekhiteken tentang milikmu si paling berharga;;NULL;;;;;;
kae plin si bahan kau mekhase ni cinte i;;NULL;;;;;;
ketike kao mahanse sebuah gue ni deleng,cekhite ken ketekhe gue dih sebut;;NULL;;;;;;
kikhe kikhe,kae pelin kelakuen pasangenmu si bahanse kao mekhase malet nyaman;;NULL;;;;;;
ketekhe kao tunjuken me ise jeme ne bahwe kao peduli;;NULL;;;;;;
ketike kao menggabakh pake en ,bage kae bentuk ne;;NULL;;;;;;
ketike jumpe khut imbang khasene atepe tenang, bahagie, nemu kite melelo khut-khut;;NULL;;;;;;
akan ku ubah cakhe pendidiken ni keluagku dan meningkatken pengetahuen tentang agame;;NULL;;;;;;
khe magan,  jage kebersihen khe vitamin;;NULL;;;;;;
nanggat laus umbroh tapi mangge lot khejeki;;NULL;;;;;;
dengan di guneken manusia;;NULL;;;;;;
aku seorang duta,  atelet,  guru,  palatih ateletik dan aku pemandu wisata ni ketambe gunung leuser;;NULL;;;;;;
ketekhe kau dapet bahan dikhi mu mekembang;;NULL;;;;;;
kae pendapet kau tentang hubungen si sehat;;NULL;;;;;;
dape si lebih penting menukhut mu,hubungen khut imbang ato pasangen?ketekhe begedi ;;NULL;;;;;;
hal kae pelin si kau senangi tetang jadu jeme anak bekhu /anak laki;;NULL;;;;;;
ketekhe pendapet mu tentang hak jeme laki;;NULL;;;;;;
kae pelin hal si bahanse kau mekhase berenergi;;NULL;;;;;;
ketike kah jadi poto graper,hal kae pelin si kao akan potokense;;NULL;;;;;;
ketike kau diberade bagas sebuah pilem,begedi kae bahan mu;;NULL;;;;;;
te nemu toh ketekhe kau bakal nadingken,kae pelin kau pot ,ketekhe;kalo tau kao mau meninggal, apa yang kau mau, kek mana;NULL;;;;;;
ketekhe cakhe ne belinse anak anaak;;NULL;;;;;;
cekhite ken pengalamen mu wakhi de;;NULL;;;;;;
ape me kutoh.. lain jeme lain hobine;;NULL;;;;;;
disiplin;;NULL;;;;;;
biase plin;;NULL;;;;;;
malet banjekh;;NULL;;;;;;
minat plin;;NULL;;;;;;
ibu.. kane segalene;;NULL;;;;;;
malet kae pe;;NULL;;;;;;
malet  guru favoritki;;NULL;;;;;;
kae die;;NULL;;;;;;
mudah;;NULL;;;;;;
anak;;NULL;;;;;;
nelpon pasangan orang;;NULL;;;;;;
jumpe mantan go kawin;;NULL;;;;;;
malet yakin pung kalak;;NULL;;;;;;
nabung;;NULL;;;;;;
ketekhe pendapetmu tentang tanggung jawab bekhu;;NULL;;;;;;
kae plin si pot kau lakuken dokho liburen;;NULL;;;;;;
sedih;;NULL;;;;;;
Kae cekhite mende dakhi sekolah atope kas mebahan;;NULL;;;;;;
aku nanggat jadi khalak megune;;NULL;;;;;;
Libukhen laus me taman nasional gunung leuser;;NULL;;;;;;
wisatane,  adatne,  makanene,  jemene,  budayene;;NULL;;;;;;
sayukh ikan mas khut acem;;NULL;;;;;;
kane iye mekhase malet pas khut keputusen khalak;;NULL;;;;;;
menonjolken dikhi,  aku nangat jadi pemandu tour;;NULL;;;;;;
jage kesehaten, atukh pola meden, mangan sehat;;NULL;;;;;;
mantap plin asalken positif;;NULL;;;;;;
jinto pesawat,  jinto bus,  melekheng, atupe gat joging;;NULL;;;;;;
hate,  tahte,  nakhu dan ibadah lancakh;;NULL;;;;;;
peluken hanyat iye akhi,  perhatiene,  sikapne;pelukan hangat dia aja perhatian sikapnya ;NULL;;;;;;
khajin belajakh;;NULL;;;;;;
nampang malot kidah lot diskone;;NULL;;;;;;
mepekhasaen;;NULL;;;;;;
ni bahani;;NULL;;;;;;
ketekhe cakhe untuk nemu soh ke pusat kota;;NULL;;;;;;
menukhut mu ketekhe cakhe melestariken budaye daekhah;;NULL;;;;;;
keteke kau  memiliki imbang ni selukhuh dunie,ketekhe cakhe mu mecekhok khut kalak di;kitaka aku meliki kawan di seluruh dunia maka aku akan belajar bahasa di setiap kawan ku tadi;NULL;;;;;;
kenepe jeme mecekhok hal si senang;;NULL;;;;;;
ketekhe cakhe nangkih ken bekhan badan;;NULL;;;;;;
ketekhe cakhe bahanse karye si jile ne si penah ni bahan;;NULL;;;;;;
kae pelin si kao get dakhi  tontonen papokhit mu;;NULL;;;;;;
ketekhe menukhutmu  jeme imbang daper sikosebut sebage imbang si tulus;;NULL;;;;;;
ketekhe kao bahan kas bahanmu mekembang;;NULL;;;;;;
jelasken gaye berpake en pilihenmu;;NULL;;;;;;
ketekhe perselisihen dapet tejadi;;NULL;;;;;;
menukhut kau ketekhe pasangen mecekhei/pisah;;NULL;;;;;;
cekhiteken ssesuatu tentang kao si menukhut kao mungkin malet kedue khang tue metoh;;NULL;;;;;;
ketekhe cakhe bahanse belagakh pedulu khut kebudayen mu;;NULL;;;;;;
kae pelin hal si akan kau lakuken wakhi de;;NULL;;;;;;
mempersiapken dikhi dengan sebaikne dan semangat;;NULL;;;;;;
narkoba e sangat bahaye kane mekhusak anak mude,  narkoba khakhu kite musnahken;;NULL;;;;;;
memperbukhuk khayak pendidiken bue ketadingen;;NULL;;;;;;
telalu bue untuk ni cekhiteken dan telalu citok untuk ni kenang;;NULL;;;;;;
kane kae kau malot nanggat;;NULL;;;;;;
hewan iye malot metelukh makanen melakheken;;NULL;;;;;;
daur ulang plin;;NULL;;;;;;
malot mende pekhasat,  ngati bual,  peculas,  pekakhuk;;NULL;;;;;;
malot setabokhen;;NULL;;;;;;
bahagie kalihen khamime khasene;;NULL;;;;;;
diet,  atukh pola makan,  olahraga job pagi bon;;NULL;;;;;;
bueh kidah mangge ni kelola oleh pemekhintah,  peletakan tong sampahpe bue lidah mangge lot,  pemekhintahpe plin mangani sen khakyat amin;;NULL;;;;;;
tolong dang keseusahen;;NULL;;;;;;
mungkin malet pet medem;;NULL;;;;;;
pas sepuk;;NULL;;;;;;
mejile;;NULL;;;;;;
jumpe imbang;;NULL;;;;;;
mebahan dapet sen;;NULL;;;;;;
kane tugas;;NULL;;;;;;
menukhut mu ketekhe pendapet pae mu terhadap kau;;NULL;;;;;;
kekhiteken sebue ne tentang hobi /kebiasaen mu si malet di bahani oleh kebuen jeme;;NULL;;;;;;
kene kae kau malet get/malet get kopi;;NULL;;;;;;
menukhut kao kae si akan tejadi khut pekhoses perpindahen mae kote negare;;NULL;;;;;;
cekhiteken nakan bongitekhindah mu;;NULL;;;;;;
dengan bergerak mengakhamise;;NULL;;;;;;
mas khomplik si gati terjadi mulai salah pahan,  malet nae buah dalan gat kitepe si khang lot kane dari keluarga si dak pas keluarga di malet tetah;;NULL;;;;;;
buese sumpah bue narkoba bue khalak jahat bue koruptor bue khalak nabah kayu;;NULL;;;;;;
mange lot khumah mangge lot motokh persiapen tong dauh magge s satupe magge lot esenpe;;NULL;;;;;;
gati mai kelekheng nampang gat melelo ni lawe matang khut imbang imbang soh bon wakhi;;NULL;;;;;;
sipken plin maso tangapipe pelual iye kap kapen sade bage khalak gile,  gat lau kite lajang;;NULL;;;;;;
gakhami kede2 mangan me khayak ni pekan ni dalan ni khumah imbangpe lot ataupe gat tasak i sade;;NULL;;;;;;
ulanh nae ingget kesalahen teman,  lupeken keburukenen ingget kebaikene;jangan lagi diingat kesalahan teman, lupakan keburukannya, ingat kebaikannya;NULL;;;;;;
khut aku pelatihen diel ni man kutacane mister andrew pemanterine suruh panitia download edime gat kutoh aplikasi nde;;NULL;;;;;;
mantap me nemu kite belajar tentang bahasa buel pertanyaen si mendidik si nemu menambah wawsen kite;bagus kita bisa belajar bahasa dan banyak pertanyaan yg bisa mendidik dan bisa menambah wawasan ;NULL;;;;;;
ato ni internet kae sendah si terkenalne;;NULL;;;;;;
kane segar dan kane nemu bueh bahanen kite selesaiken dan malot kite males jadine;;NULL;;;;;;
me go kusebut age khuti pelatihen ni sekolah man kutacane ;;NULL;;;;;;
me lot tengan khut kiding megekhok, pikekhken mejile kane bertindak;;NULL;;;;;;
pikheken positif,  pebue harte,  khajin belajakh,  ulang aombong;;NULL;;;;;;
ketekhe kao menggambakh pengalamen kau menguneken aplikasi de;;NULL;;;;;;
ketekhe pekhang nemu tejadi;;NULL;;;;;;
tentang kae si kau hadepi  sendah de;;NULL;;;;;;
ketekhe nemu kao kebeneen kunci;;NULL;;;;;;
kontribusi kae pelin si dapet kao tawakhken untuk lingkungen ni sekitakh mu;kontribusi apa saja yang dapat kamu berikan untuk lingkungan sekitar mu;NULL;;;;;;
kae pelin hak si kau hakhapken bagas pegeluh mu;apa aja hak yang kau harapkan dalam hidup mu ;NULL;;;;;;
menukhut mu ketekhe cakhe indonesia untuk memangken piala dunia;;NULL;;;;;;
binatang kae si paling kau get ketekhe;;NULL;;;;;;
ketekhe cakhe kau selese ken tugas mu;;NULL;;;;;;
menukhut kau ketekhe mase depan tenologi;;NULL;;;;;;
ketekhe jeme ngateken hal si mesui;;NULL;;;;;;
ketekhe cakhe melestakhiken bahase  kute;;NULL;;;;;;
cekhite tentang bahanen kau wakhi de;;NULL;;;;;;
ketekhe cakhe mekhawat anak anak;;NULL;;;;;;
bage kae pengalamen kau bagas sekolah (sd/smp/sma kuliah);;NULL;;;;;;
mebahan;;NULL;;;;;;
kumpul2;;NULL;;;;;;
pulsa kane untuk nlpn;;NULL;;;;;;
kane taboh man;;NULL;;;;;;
jujukh jadi tetangge;;NULL;;;;;;
ikhlas;;NULL;;;;;;
petame sulit;;NULL;;;;;;
mange penah ;;NULL;;;;;;
bue sabakh;;NULL;;;;;;
ende pe go mejile;;NULL;;;;;;
nipe.. matukne mesui kalihen;;NULL;;;;;;
kane benci;;NULL;;;;;;
kae si dapet kao majuken pade aplikasi kami;;NULL;;;;;;
ketekhe hanggat global mempengaruhu bumi;;NULL;;;;;;
ketekhe penting untuk metohe se pekhistiwe wakhi de;;NULL;;;;;;
cekhite tentang konten kreator pavorit kau;;NULL;;;;;;
sohken solusi kau mengenau masalah ni lingkungen sedah de;;NULL;;;;;;
ketekhe kau bahanse penelitieb memgenai komplek atau situasi si bahan setekhes;;NULL;;;;;;
ketekhe pendapet kau tentang lgbt;;NULL;;;;;;
ketekhe cakhe kau mengalihken dikhi dakhi putok ate;;NULL;;;;;;
ketekhe kau khut sahabat kau jumpe;;NULL;;;;;;
jelasken lingkungen bahan ideal kau;;NULL;;;;;;
de wakhi te akhe liburmu ,ketekhe kau akan menghabisken se;;NULL;;;;;;
kae si sedang menganjal bagas pikekhen mu;;NULL;;;;;;
ketekhe terorisme payah ni berantas;;NULL;;;;;;
menukhut mu kae sistem pemekhintah senda untuk go tepat untuk indonesia;;NULL;;;;;;
cekhiteken sendah kau mengalamai masalah khut ketekhe kau menanganine;;NULL;;;;;;
ketike melakuken dose khasene wayang nesalne dan ketike kite menghabisken sen kite untuk poya2 dan kite job wakhi nadingken sholat hidup ende sementakhe khamin, si kite pagan akan macik,  si kite pakek akan lapuk;;NULL;;;;;;
dengan komunikasi,  ulang lot si ni tutipi kite semangat, ulang malas saling membantu ketike lot masalah ulang pelin2 khubat ulah ulang pepelin mengeas khut nelap ulah kitr malot mende del pepelin nelap pelin ulah kite;;NULL;;;;;;
tukokh databes, terkhus belajarkh ulang henti,  tetap semangat gakhami khalak si ukhok it si ligat ngedit si bacar,  sipintekh ngelakuken kaepe;;NULL;;;;;;
dengan cekhe ngato barang e ngato hargane sekae,  tenguhkin khayak khalak makekse atau dak bertanya me jeme si tekhem kadang malot mantap barangpe;;NULL;;;;;;
nangat aku ngekhasekense,  nangat aku makekse kadang taboh kadang malot,  mebegedi nge ngeluhnde nangat kite kaepe khasekense;;NULL;;;;;;
ketike malot mekhesen,  karir malot lancarkh,  banakanpe malot,  hondape malot,  untang khayak,  imbangpe celake,  tutuh laye, wabe, gile;;NULL;;;;;;
kadang pepelin mengas kidah aku kadang malot,  edime entah kaesu aku nde mungkin kadangpe antakhe aku malet me khesen senakhen sulit khut sempit;;NULL;;;;;;
aku sendahde sedang berjuang mengejakh cite2 membahagieken orang tueku semakin wakhi semakin metue,  kadang uas kukap ngidah nasib kami ngende tel kaeken bahan;;NULL;;;;;;
liberal e malot mende,  maso pilih khalak politik si libral e malot mende edi mahan mesui ate amin khalak sendah malot tepecayai apalagi tentang politik;;NULL;;;;;;
mase cutku pelin. main kelekheng kadang main yoyo,  main saaak,  main pukul lele makan lembu ngarik dukut mengali,  dukut rih. dukut gajah,  balang tegu;;NULL;;;;;;
anto bakhang del go cocok ni ate gat ato dompet kae lot pul edi gat pesan cod del go soh barang kite gat bayakh del dak pas gat komplenken plin;;NULL;;;;;;
keras da del naggat jadi juare harus latihen konsisten jage pola medem pola makan,  pola gelukh,  senakhen belajakh job wakhi ulang bosan;;NULL;;;;;;
melakuken musawarah secakhe khut2 ukang muet keputusen secakhe sesade del sesade biakh aku hasilne dak baik;;NULL;;;;;;
berwal dari ketepaseen dan mekhubah menjadi kebiasen lanjut berubah dan jadi kebutuhen;;NULL;;;;;;
mecekhok secakhe mejile ulang mengas2 nda jelas,  ulang pakek emosi tapi pakek ate si mbogoh kane selesai masalahpe;;NULL;;;;;;
Kune cakhe kalak nggancihi layakh hp ne ? ;;NULL;;;;;;
Kae pelin si let ni bagas pikekhenmu sendah nde ?;;NULL;;;;;;
Cekhiteken tentang mate pelajakhen si paling munyang ate mu ni sekolah. ;;NULL;;;;;;
Kune cakhe Indonesia kane njadi negakhe maju ?;;NULL;;;;;;
Menukhutmu kae hal si paling ndak dewasa si pekhnah nilakuken khang?tuemu ;;NULL;;;;;;
Kune kau mencape tujuen si sikel kau cape ? ;;NULL;;;;;;
Ise jeme si paling kau geti ni dunie ? kune gat iye dhi ?;;NULL;;;;;;
Kae si kau etoh tentang aplikasi ikata ?;;NULL;;;;;;
Menukhutmu, kae pelin si pekhlu nipejilei ni Indonesia ?;;NULL;;;;;;
Jelasken tentang hewan get atemu ;;NULL;;;;;;
Jelasken khamah sempukhne mu ;;NULL;;;;;;
Dhe kau njadhi pemimpin, kae pelin hal si sikel kau tanemken be tekhuhenmu ? ;;NULL;;;;;;
kune biasene kau nemu senang luakh biase ?;;NULL;;;;;;
kune biasene kau nemu kelewat senang ;;NULL;;;;;;
menukhutmu kae pelin ujien nggeluh ni waktu ndube ?;;NULL;;;;;;
menukhutmu, apekah bahase indonesia nemu njadhi sebuah bahase internasional ?;;NULL;;;;;;
menukhutmu, kune kau ndapetken gedhang badanmu sendah ?;;NULL;;;;;;
cekhiteken kune kas paling mejile si pekhnah kau khohi ?;;NULL;;;;;;
menukhutmu, kune pepige kalak njadhiken bhinatang bhuas sebage pelakhe'en ?;;NULL;;;;;;
menukhutmu kune gat keluakhgemu luakh bhiase ?;;NULL;;;;;;
mu kin kau cekhiteken kune kau sebage anak ?;;NULL;;;;;;
kune pendapet bos/imbang mebhahanmu bhamu ? ;;NULL;;;;;;
kune te kau mate pagi ? ;;NULL;;;;;;
kune cakhemu kane tetap sekhius ?;;NULL;;;;;;
kae-kae pelin si sikel kau tingkatken bekhkaiten khut dhilhimu ?;;NULL;;;;;;
kae si njdhiken suatu wakhi njadhi wakhi mejile si pekhnah let ?;;NULL;;;;;;
kune kau ngehadhepi kekhine kebhiakhenmu ? ;;NULL;;;;;;
si ni butuhken, niat si belin,  ide kite, ketabahen kite,  gagasen kite,  niat kite dan selelu berkeja khekhas ulang penah mengeluh dan tetap semangat;yang dibutuhkan, niat yang besar, ide kita, ketabahan kita, gagasan kita, niat kita dan selalu bekerja keras jangan pernah mengeluh dan tetap semangat;NULL;;;;;;
nangat khalak e gakhami ketenangen bagas geluhne ;;NULL;;;;;;
penah aku mimpi ni khalak anak cut ipene tajom kidah khalikhem khoh biakhupe gat;;NULL;;;;;;
berbagi untuk sesama dan bermanfaat untuk khalak khayak;;NULL;;;;;;
nimat mesyukur si kusukuri kane dekah go geluh ni dunie nde,  nikmat islam kane nemu tong ibadah,  niat menolong khalak lain,  nikmat dak irie khalak lain;;NULL;;;;;;
hage dikhi si malot nemu ni tukokh kane hage dikhine malot te tukokh khut sen ataupe khut kaepe;;NULL;;;;;;
khayak si nangat kumetohkhi khase inginku khase tahuku tentang dunie,  tentang dikhimu;;NULL;;;;;;
mantapme pokokne kaskue terbaik untuk aku inyangi gat cube me lajang ko khumahku;;NULL;;;;;;
bue cakha untuk mecerikhite menakhi jeme untuk jumpe khut khalak bakhu misalne cekhite ni kute khalak;;NULL;;;;;;
khayak si nemu misalne bernenang khut imbanh edi si nemu mahan ate khu batinku senang;;NULL;;;;;;
bermanfaat untuk jeme sitekhem dan jadi dikhi sendiri ku khase edi bersi terbaik bagas gelukhu;;NULL;;;;;;
mende mekhiman edi me gat iye jadi imbang baik kite kedepanen;;NULL;;;;;;
ton nae entah kae si cekhitekenpe ooo mungkin tentang status khalak si lot khamahne;;NULL;;;;;;
jujur disiplin malot peculas malot bage embekh begedi me jeme si nemu aku pecaye;;NULL;;;;;;
ketike kite kene tadingken edi khasenen kehlmeneen khalak si kite tadingkan bagas gelukh;;NULL;;;;;;
te let bhamu mesin waktu, hal kae pelin si kau inginken ni khubah ? ;;NULL;;;;;;
jelasken tentang dhikhimu ;;NULL;;;;;;
menukhutmu kae pin khintangen ngeluh ni mase sendah ? ;;NULL;;;;;;
tekhengken wakhi si malet mende mu;;NULL;;;;;;
kune kau jumpe khut pasangenmu ?;;NULL;;;;;;
kae pelin hal si kau etoh tentang lagu ?;;NULL;;;;;;
tekhangken tentang kasmu ni bhelinken ;;NULL;;;;;;
hal kae pelin si kau munyangi njedhi anak khut/anak laki ?;;NULL;;;;;;
menukhutku, si tekhjadhi ni mase depan semua serba canggih dan serba cepat. ;;NULL;;;;;;
menukhutku sen malet mu nukokh kebahagie'en sebab kebahagie'en e malet mu ni ukukh khut sen ;;NULL;;;;;;
bhiasene aku tenggo pas jumpe pelin;;NULL;;;;;;
taboh,  mantap,  bogoh,  bosih edime kelebihen del kite laus belanje me supermarket ni pekan;;NULL;;;;;;
sedih kapne edi mahanse kae gat khalak mekhase uwas ate;;NULL;;;;;;
mengingetken hidup sehat,  ulang setekhes,  gati olahraga,  ulang gati jage bongi edime si kebijaken nemu ni tekhapken pemekhintah untuk meningkatken gelukh sehat;mengingatkan hidup sehat, jangan stres, sering klah raga, jangan sering bergadang, itulah kebijakan yang bisa diterapkan pemerintah untuk meningkatkan hidup sehat;NULL;;;;;;
malot get ateku edimahanse malot ku kateken malot me sesuatu si malet pas;;NULL;;;;;;
jumpa ataupe khoh khumahne begedime cakhene jumpe khut pasangen kite;;NULL;;;;;;
malet cansu kidah,  malet khembanhsu edi me pemdapetku mengenai kas tadingku bahan;;NULL;;;;;;
lot gelakhne data bes edi mahanse data-data bagas internet e nemu ni Proses;;NULL;;;;;;
kecewe,  teluke,  hancukh begedi me khasene ketike kite kene tadingken khamah kite;;NULL;;;;;;
mantap gat ku bahan del aku no bekhe kepercayen ketike mengelola acakhe tivi;;NULL;;;;;;
bosih,  pecaye dikhi edi sinemu mahan  aku bedi timbang khalak lain;;NULL;;;;;;
suksek bagie malot kaepe si kukhang tel me misalne keadaenku di pige tahun kendatas;sukses bahagia gada apapun yang kurang te ecek ecek nya keadaan ku berapa tahun ke atas;NULL;;;;;;
bahagie ni atene senang ni atene mingkin iye jatuh cinte edi mahanse gat khalak tawe;;NULL;;;;;;
lot rejeki adi akhi edi mahanse gat ku guneken waktuku untuk hal edi;;NULL;;;;;;
khajin belajakh tekuni edi mahanse aku jago ni bidangku;rajin belajar dan tekun itu yang membuat saya jago dibidang saya ;NULL;;;;;;
