Alas;Indo;Domain
menukhutku pet tetawe Sade khut mecekhok sade;;Story/narrative
hakhus Lot dasakh cinte ;;Story/narrative
mangan kueh;;Story/narrative
kakhene Jujukh ;;Story/narrative
Cukup aman-aman plin;;Story/narrative
dapet juakhe kelas;;Story/narrative
hal si paling menakhik minat ku Edi melelo bola;hal yang paling menarik minatku adalah bermain bola ;Story/narrative
menukhutmu,kae pelin si hakhus nisiapken sebelum pensiun;;Story/narrative
ulang pebual bagas khumah tangge;;Story/narrative
menukhut kandu,kae pelin si nibutuhken sebelum pensiun;;Story/narrative
Mase depan paling cekhah;;Story/narrative
bahase alas;;Story/narrative
khakhene penting untuk ni lakuken;karena sangat penting untuk dilakukan karena sangat penting untuk dilakukan;Story/narrative
mek ku tong sehat plin ;;Story/narrative
karene jujukh edi sangat penting;;Story/narrative
kakhene Ni bagas kejujukhen Lot ketenange ni dikhi kite;;Story/narrative
ketenangan Bagas geluh nde ;;Story/narrative
ge ken,dan usaheken kae pe si ni kritik;;Story/narrative
membace;;Instructions
get ne ateku;;Story/narrative
ibadah,panganen,dan hubungen;;Story/narrative
bage Kalak luakh negekhi e ;;Story/narrative
maso sibuk;;Story/narrative
medem;;Story/narrative
kakhene iye khajin belajakh;;Story/narrative
hal kae plin mengganggumu;;Story/narrative
kae pelit hal yang membuat  kandu mengse  pang;;Story/narrative
menukhutmu,kae pelin si kau butuh pekhsiap ken sebelum pensiun;;Story/narrative
mendapetken kemudahen dalam hal kae pe;;Story/narrative
kae pelit saja yang paling kandu nangat  khamah  mu;;Story/narrative
dokho,kakhene uwak ku e okhang tue ku;;Story/narrative
lakhi lakhi khut imbang imbang ;;Story/narrative
ukhok nayukh;;Story/narrative
Cekhiteken kejadien sipaling memeleken ni bagas geluh mu;;Story/narrative
kesehaten khut kajeki;;Story/narrative
mbue;;Story/narrative
dabuh mehonda;;Story/narrative
jujukh;;Story/narrative
kakhene khami khami;;Story/narrative
bahasa indonesia sangat penting dlm kehidupan sehari,,;;Culture/Tourism
pemales khut ikut campukh;;Story/narrative
kae mampu, kae let bangku;apa yang aku mampu apa yang ada pada diriku;Story/narrative
ku ne cakhene kao nyeleseiken masalah;;Instructions
cekhiteken tentang tekhedisi keluakhgemu;;Culture/Tourism
melelo khut khidi;;Culture/Tourism
Culas khut penduste;;Story/narrative
kae pelit mejile  kalak lain pengurus khumah tangge yang mantap ;;Story/narrative
kae kesan kandu khut   aplikasi  de;;Story/narrative
kae jeme dapet tangis sedih ne;;Story/narrative
malet mesalah;;Story/narrative
menukhutmu, kae plin baik akhi dunie?;;Story/narrative
kenangen kae plin yang paling bukhuk yang penah kau alami ;;Story/narrative
kae pe mu kau bahani asal kau senang mbelajakhi bahase lain ;;Culture/Tourism
kae keluarge penting untukmu? kae ngat gedi;;Culture/Tourism
kae plin yang dapet bahanmu kecewe ;;Story/narrative
kae plin yang kau sanggati akhi pasangenmu;;Story/narrative
kae mahan kau senangken dikhi?;;Story/narrative
kae plin ulah mu si kau munyanggi dikhimu;;Story/narrative
dape akhi kite senine?;;Instructions
kakhene sampah sifatne bau khut cemak jadi hakhus ni kelole kane ndak menumpuk;;Story/narrative
keluarge khut kesehaten;;Story/narrative
si kutayaken kune keadaan mu, nangat man kae kokhmu;;Story/narrative
let masalah;;Story/narrative
sehat plin;;Story/narrative
salah malet mu sebab rahasie;;Story/narrative
jelasken sejakhah kegelukhenmu;;Story/narrative
kae pelin hal si kao get bahani khut imbang-imbang mu;;Story/narrative
kae pelin kenangen si mahan kao bahagie?;;Story/narrative
suakhe-suakhe bage kae si malet kao getti?;;Story/narrative
kae pelin khencane mu tentang hubungen mu khut pasangan mu;;Story/narrative
menurut mu kae  gat pot membace ni indonesia kelok khendah ne;;Story/narrative
makai dalani;;Story/narrative
kane ukhok kaepe,  kane bacakh,  kane pintekh;;Story/narrative
si kenangen palin mekesan bagas ngelukhku khyaka khalihen,  khut pemilihan dutawisata,  pramuka me luakh daerah,  khut festival payung,  khut lomba-lomba, khut ateletik bage lempar lembing,  tolak peluru, renang;;Story/narrative
khut lomba renang;;Story/narrative
nis sayang, ni perhatiken,  nimasihi;;Story/narrative
ngati ngechat anak khalak lewat wa khut fb;;Story/narrative
tentang keluarga dan aib kite;;Story/narrative
sedih lua biase;;History
medem khut sepuk;;Story/narrative
ape me kutoh;;Story/narrative
bayak;;Story/narrative
Menurut kamu, Pelajakhen kae si paling megune ni sekolah dan kae sebabne?;;Story/narrative
kae kalak di tawe?;;Story/narrative
bue si kulakuken, ngopi khut imbang,  lajang,  gakham khajeki;;Story/narrative
berjuang ni titi paling tekhuh ketike kite malot lot kaepe;;Story/narrative
mimpi si mejileni, mimpi jadi kebangaen negara khut agame;;Story/narrative
pola pikir mencerminken kedewasaen;;Story/narrative
kebahagiaen khoh kane kite selalu bersyukur dengan si kite miliki;;Story/narrative
perbaikin dikhi tutukh kate,  bahase khut keperibadien kite sewakhi-wakhi;perbaikin diri tutur kata bahasa dan keperibadian kita sehari-hari ;Story/narrative
bosih khut aman;;Story/narrative
makai pe;;Story/narrative
kalak susah kakhene menolong;;Story/narrative
tentang ilmu;;Story/narrative
malet;;Story/narrative
cekhiteken tentang milikmu si paling berharga;;Story/narrative
kae plin si bahan kau mekhase ni cinte i;;Story/narrative
ketike kao mahanse sebuah gue ni deleng,cekhite ken ketekhe gue dih sebut;;Story/narrative
kikhe kikhe,kae pelin kelakuen pasangenmu si bahanse kao mekhase malet nyaman;;Story/narrative
ketekhe kao tunjuken me ise jeme ne bahwe kao peduli;;Instructions
ketike kao menggabakh pake en ,bage kae bentuk ne;;Story/narrative
ketike jumpe khut imbang khasene atepe tenang, bahagie, nemu kite melelo khut-khut;;Story/narrative
akan ku ubah cakhe pendidiken ni keluagku dan meningkatken pengetahuen tentang agame;;Story/narrative
khe magan,  jage kebersihen khe vitamin;;Instructions
nanggat laus umbroh tapi mangge lot khejeki;;Story/narrative
aku seorang duta,  atelet,  guru,  palatih ateletik dan aku pemandu wisata ni ketambe gunung leuser;;Story/narrative
ketekhe kau dapet bahan dikhi mu mekembang;;Instructions
kae pendapet kau tentang hubungen si sehat;;Story/narrative
dape si lebih penting menukhut mu,hubungen khut imbang ato pasangen?ketekhe begedi ;;Story/narrative
hal kae pelin si kau senangi tetang jadu jeme anak bekhu /anak laki;;Story/narrative
ketekhe pendapet mu tentang hak jeme laki;;Story/narrative
kae pelin hal si bahanse kau mekhase berenergi;;Story/narrative
ketike kah jadi poto graper,hal kae pelin si kao akan potokense;;Story/narrative
ketike kau diberade bagas sebuah pilem,begedi kae bahan mu;;Story/narrative
te nemu toh ketekhe kau bakal nadingken,kae pelin kau pot ,ketekhe;kalo tau kao mau meninggal, apa yang kau mau, kek mana;Story/narrative
ketekhe cakhe ne belinse anak anaak;;Instructions
cekhite ken pengalamen mu wakhi de;;Story/narrative
ape me kutoh.. lain jeme lain hobine;;Story/narrative
lemes;;Story/narrative
biase plin;;Story/narrative
malet pante kas kami;;Instructions
malet kae pe;;Culture/Tourism
malet banjekh;;Culture/Tourism
uso.. mis;;Story/narrative
malet  guru favoritki;;Story/narrative
sui ate;;Story/narrative
malet jelasnge;;Story/narrative
kae die;;Story/narrative
malet kutoh;malet kutoh artinya tidak tahu atau tidak tahu apa-apa;Story/narrative
sedap khasene;;Story/narrative
malet pas nae;;Story/narrative
malet adil;;Story/narrative
lucu;;Story/narrative
bual;;Story/narrative
jumpe mantan go kawin;;Story/narrative
malet yakin pung kalak;;Story/narrative
ketekhe pendapetmu tentang tanggung jawab bekhu;;Story/narrative
kae plin si pot kau lakuken dokho liburen;;Culture/Tourism
sedih;;Story/narrative
Kae cekhite mende dakhi sekolah atope kas mebahan;;Story/narrative
Kakhene lucu;;Story/narrative
Libukhen laus me taman nasional gunung leuser;;Culture/Tourism
sayukh ikan mas khut acem;sayur ikan mas with asam belimbing biar macem;Story/narrative
kane iye mekhase malet pas khut keputusen khalak;;Story/narrative
menonjolken dikhi,  aku nangat jadi pemandu tour;;Instructions
jage kesehaten, atukh pola meden, mangan sehat;;Instructions
mantap plin asalken positif;;Story/narrative
jinto pesawat,  jinto bus,  melekheng, atupe gat joging;;Instructions
hate,  tahte,  nakhu dan ibadah lancakh;;Story/narrative
peluken hanyat iye akhi,  perhatiene,  sikapne;pelukan hangat dia aja perhatian sikapnya ;Story/narrative
khajin belajakh;;Story/narrative
nampang malot kidah lot diskone;;Story/narrative
usaha dan sabar;usaha dan sabaran agar terhubung dengan keinginan;Instructions
mejawab;;Instructions
kane go jenuh;;Culture/Tourism
ni bahani;;Culture/Tourism
malet tandai;;Story/narrative
khami;;Culture/Tourism
ketekhe cakhe untuk nemu soh ke pusat kota;;Culture/Tourism
menukhut mu ketekhe cakhe melestariken budaye daekhah;;Culture/Tourism
keteke kau  memiliki imbang ni selukhuh dunie,ketekhe cakhe mu mecekhok khut kalak di;kitaka aku meliki kawan di seluruh dunia maka aku akan belajar bahasa di setiap kawan ku tadi;Instructions
kenepe jeme mecekhok hal si senang;;Story/narrative
ketekhe cakhe nangkih ken bekhan badan;;Instructions
ketekhe cakhe bahanse karye si jile ne si penah ni bahan;;Story/narrative
kae pelin si kao get dakhi  tontonen papokhit mu;;Story/narrative
ketekhe menukhutmu  jeme imbang daper sikosebut sebage imbang si tulus;;Story/narrative
ketekhe kao bahan kas bahanmu mekembang;;Story/narrative
ketekhe perselisihen dapet tejadi;;Story/narrative
menukhut kau ketekhe pasangen mecekhei/pisah;;Story/narrative
cekhiteken ssesuatu tentang kao si menukhut kao mungkin malet kedue khang tue metoh;;Story/narrative
ketekhe cakhe bahanse belagakh pedulu khut kebudayen mu;;Culture/Tourism
kae pelin hal si akan kau lakuken wakhi de;;Story/narrative
mempersiapken dikhi dengan sebaikne dan semangat;;Instructions
narkoba e sangat bahaye kane mekhusak anak mude,  narkoba khakhu kite musnahken;;Story/narrative
memperbukhuk khayak pendidiken bue ketadingen;;History
telalu bue untuk ni cekhiteken dan telalu citok untuk ni kenang;;Story/narrative
kane kae kau malot nanggat;;Story/narrative
hewan iye malot metelukh makanen melakheken;;Story/narrative
malot mende pekhasat,  ngati bual,  peculas,  pekakhuk;;Story/narrative
malot setabokhen;;Story/narrative
bahagie kalihen khamime khasene;;Story/narrative
bueh kidah mangge ni kelola oleh pemekhintah,  peletakan tong sampahpe bue lidah mangge lot,  pemekhintahpe plin mangani sen khakyat amin;banyak saya lihat belum di kelola oleh kepemerintahan, peletakan tempat sampah masih banyak saya  lihat belum ada, kepemerintahan itu saja makan uang rakyat itu saja;Story/narrative
mungkin malet pet medem;;Story/narrative
pas sepuk;;Story/narrative
hal si paling biakh;;Story/narrative
susah;;Story/narrative
lucu ;;Story/narrative
mejile;;Story/narrative
malet let;;Culture/Tourism
jumpe imbang;;Story/narrative
mebahan dapet sen;;Story/narrative
jujukh khapi;jujur rapi lah dan baik lah bersama dengan;Story/narrative
menukhut mu ketekhe pendapet pae mu terhadap kau;;Story/narrative
kekhiteken sebue ne tentang hobi /kebiasaen mu si malet di bahani oleh kebuen jeme;;Story/narrative
kene kae kau malet get/malet get kopi;;Story/narrative
menukhut kao kae si akan tejadi khut pekhoses perpindahen mae kote negare;;Culture/Tourism
cekhiteken nakan bongitekhindah mu;;Story/narrative
mas khomplik si gati terjadi mulai salah pahan,  malet nae buah dalan gat kitepe si khang lot kane dari keluarga si dak pas keluarga di malet tetah;;Story/narrative
buese sumpah bue narkoba bue khalak jahat bue koruptor bue khalak nabah kayu;;Culture/Tourism
mange lot khumah mangge lot motokh persiapen tong dauh magge s satupe magge lot esenpe;;Story/narrative
gati mai kelekheng nampang gat melelo ni lawe matang khut imbang imbang soh bon wakhi;;Story/narrative
sipken plin maso tangapipe pelual iye kap kapen sade bage khalak gile,  gat lau kite lajang;;Instructions
gakhami kede2 mangan me khayak ni pekan ni dalan ni khumah imbangpe lot ataupe gat tasak i sade;;Instructions
khut aku pelatihen diel ni man kutacane mister andrew pemanterine suruh panitia download edime gat kutoh aplikasi nde;;Instructions
mantap me nemu kite belajar tentang bahasa buel pertanyaen si mendidik si nemu menambah wawsen kite;;Story/narrative
ato ni internet kae sendah si terkenalne;;Story/narrative
kane segar dan kane nemu bueh bahanen kite selesaiken dan malot kite males jadine;;Story/narrative
me go kusebut age khuti pelatihen ni sekolah man kutacane ;;Instructions
me lot tengan khut kiding megekhok, pikekhken mejile kane bertindak;;Instructions
pikheken positif,  pebue harte,  khajin belajakh,  ulang aombong;;Instructions
ketekhe kao menggambakh pengalamen kau menguneken aplikasi de;;Story/narrative
ketekhe pekhang nemu tejadi;;Story/narrative
tentang kae si kau hadepi  sendah de;;Story/narrative
ketekhe nemu kao kebeneen kunci;;Instructions
kontribusi kae pelin si dapet kao tawakhken untuk lingkungen ni sekitakh mu;kontribusi apa saja yang dapat kamu berikan untuk lingkungan sekitar mu;Story/narrative
kae pelin hak si kau hakhapken bagas pegeluh mu;;Story/narrative
menukhut mu ketekhe cakhe indonesia untuk memangken piala dunia;menurut mu bagaimana cara indoneuuntuk memenangkan piala dunia;Story/narrative
binatang kae si paling kau get ketekhe;;Story/narrative
ketekhe cakhe kau selese ken tugas mu;;Story/narrative
menukhut kau ketekhe mase depan tenologi;;Story/narrative
ketekhe jeme ngateken hal si mesui;;Story/narrative
ketekhe cakhe melestakhiken bahase  kute;;Culture/Tourism
cekhite tentang bahanen kau wakhi de;;Story/narrative
ketekhe cakhe mekhawat anak anak;;Instructions
makai pe biase plin;;Story/narrative
jujukh jadi tetangge;;Instructions
bue sabakh;;Story/narrative
ende pe go mejile;;Story/narrative
disiplin khut ushae;;Story/narrative
kae si dapet kao majuken pade aplikasi kami;;Story/narrative
ketekhe penting untuk metohe se pekhistiwe wakhi de;;Story/narrative
cekhite tentang konten kreator pavorit kau;cekhite tentang konten kreator favorit kau;Story/narrative
sohken solusi kau mengenau masalah ni lingkungen sedah de;;Story/narrative
ketekhe kau bahanse penelitieb memgenai komplek atau situasi si bahan setekhes;;Story/narrative
ketekhe pendapet kau tentang lgbt;;Story/narrative
ketekhe cakhe kau mengalihken dikhi dakhi putok ate;;Story/narrative
ketekhe kau khut sahabat kau jumpe;;Story/narrative
jelasken lingkungen bahan ideal kau;;Story/narrative
de wakhi te akhe liburmu ,ketekhe kau akan menghabisken se;;Culture/Tourism
kae si sedang menganjal bagas pikekhen mu;;Story/narrative
ketekhe terorisme payah ni berantas;;Story/narrative
menukhut mu kae sistem pemekhintah senda untuk go tepat untuk indonesia;;Story/narrative
cekhiteken sendah kau mengalamai masalah khut ketekhe kau menanganine;;Story/narrative
ketike melakuken dose khasene wayang nesalne dan ketike kite menghabisken sen kite untuk poya2 dan kite job wakhi nadingken sholat hidup ende sementakhe khamin, si kite pagan akan macik,  si kite pakek akan lapuk;;Story/narrative
dengan komunikasi,  ulang lot si ni tutipi kite semangat, ulang malas saling membantu ketike lot masalah ulang pelin2 khubat ulah ulang pepelin mengeas khut nelap ulah kitr malot mende del pepelin nelap pelin ulah kite;;Story/narrative
tukokh databes, terkhus belajarkh ulang henti,  tetap semangat gakhami khalak si ukhok it si ligat ngedit si bacar,  sipintekh ngelakuken kaepe;;Story/narrative
dengan cekhe ngato barang e ngato hargane sekae,  tenguhkin khayak khalak makekse atau dak bertanya me jeme si tekhem kadang malot mantap barangpe;;Instructions
nangat aku ngekhasekense,  nangat aku makekse kadang taboh kadang malot,  mebegedi nge ngeluhnde nangat kite kaepe khasekense;;Story/narrative
ketike malot mekhesen,  karir malot lancarkh,  banakanpe malot,  hondape malot,  untang khayak,  imbangpe celake,  tutuh laye, wabe, gile;;Story/narrative
kadang pepelin mengas kidah aku kadang malot,  edime entah kaesu aku nde mungkin kadangpe antakhe aku malet me khesen senakhen sulit khut sempit;;Story/narrative
liberal e malot mende,  maso pilih khalak politik si libral e malot mende edi mahan mesui ate amin khalak sendah malot tepecayai apalagi tentang politik;;History
mase cutku pelin. main kelekheng kadang main yoyo,  main saaak,  main pukul lele makan lembu ngarik dukut mengali,  dukut rih. dukut gajah,  balang tegu;;Story/narrative
anto bakhang del go cocok ni ate gat ato dompet kae lot pul edi gat pesan cod del go soh barang kite gat bayakh del dak pas gat komplenken plin;;Instructions
keras da del naggat jadi juare harus latihen konsisten jage pola medem pola makan,  pola gelukh,  senakhen belajakh job wakhi ulang bosan;;Story/narrative
mecekhok secakhe mejile ulang mengas2 nda jelas,  ulang pakek emosi tapi pakek ate si mbogoh kane selesai masalahpe;;Instructions
Kae pelin si let ni bagas pikekhenmu sendah nde ?;;Story/narrative
Cekhiteken tentang mate pelajakhen si paling munyang ate mu ni sekolah. ;;Story/narrative
Kune cakhe Indonesia kane njadi negakhe maju ?;;Story/narrative
Menukhutmu kae hal si paling ndak dewasa si pekhnah nilakuken khang?tuemu ;;Story/narrative
Kune kau mencape tujuen si sikel kau cape ? ;;Instructions
Ise jeme si paling kau geti ni dunie ? kune gat iye dhi ?;;Story/narrative
Kae si kau etoh tentang aplikasi ikata ?;;Story/narrative
Menukhutmu, kae pelin si pekhlu nipejilei ni Indonesia ?;;Story/narrative
Jelasken tentang hewan get atemu ;;Story/narrative
Jelasken khamah sempukhne mu ;;Story/narrative
Dhe kau njadhi pemimpin, kae pelin hal si sikel kau tanemken be tekhuhenmu ? ;;Story/narrative
te yakin;;Story/narrative
kune biasene kau nemu senang luakh biase ?;;Story/narrative
kune biasene kau nemu kelewat senang ;;Story/narrative
menukhutmu kae pelin ujien nggeluh ni waktu ndube ?;;Story/narrative
menukhutmu, apekah bahase indonesia nemu njadhi sebuah bahase internasional ?;;Culture/Tourism
menukhutmu, kune kau ndapetken gedhang badanmu sendah ?;menurutmu, bagaimana kamu mendapatkan tinggi badan mu sekarang?;Instructions
cekhiteken kune kas paling mejile si pekhnah kau khohi ?;;Culture/Tourism
menukhutmu, kune pepige kalak njadhiken bhinatang bhuas sebage pelakhe'en ?;;Story/narrative
menukhutmu kune gat keluakhgemu luakh bhiase ?;;Story/narrative
mu kin kau cekhiteken kune kau sebage anak ?;;Story/narrative
kune te kau mate pagi ? ;;Story/narrative
kune cakhemu kane tetap sekhius ?;;Instructions
kae-kae pelin si sikel kau tingkatken bekhkaiten khut dhilhimu ?;;Story/narrative
kae si njdhiken suatu wakhi njadhi wakhi mejile si pekhnah let ?;;Story/narrative
kune kau ngehadhepi kekhine kebhiakhenmu ? ;;Story/narrative
si ni butuhken, niat si belin,  ide kite, ketabahen kite,  gagasen kite,  niat kite dan selelu berkeja khekhas ulang penah mengeluh dan tetap semangat;yang dibutuhkan, niat yang besar, ide kita, ketabahan kita, gagasan kita, niat kita dan selalu bekerja keras jangan pernah mengeluh dan tetap semangat;Story/narrative
nangat khalak e gakhami ketenangen bagas geluhne ;;Story/narrative
penah aku mimpi ni khalak anak cut ipene tajom kidah khalikhem khoh biakhupe gat;;Story/narrative
berbagi untuk sesama dan bermanfaat untuk khalak khayak;;Story/narrative
nimat mesyukur si kusukuri kane dekah go geluh ni dunie nde,  nikmat islam kane nemu tong ibadah,  niat menolong khalak lain,  nikmat dak irie khalak lain;;Story/narrative
hage dikhi si malot nemu ni tukokh kane hage dikhine malot te tukokh khut sen ataupe khut kaepe;;Story/narrative
khayak si nangat kumetohkhi khase inginku khase tahuku tentang dunie,  tentang dikhimu;;Story/narrative
bue cakha untuk mecerikhite menakhi jeme untuk jumpe khut khalak bakhu misalne cekhite ni kute khalak;;Story/narrative
khayak si nemu misalne bernenang khut imbanh edi si nemu mahan ate khu batinku senang;;Story/narrative
bermanfaat untuk jeme sitekhem dan jadi dikhi sendiri ku khase edi bersi terbaik bagas gelukhu;;Story/narrative
mende mekhiman edi me gat iye jadi imbang baik kite kedepanen;;Story/narrative
ton nae entah kae si cekhitekenpe ooo mungkin tentang status khalak si lot khamahne;;Story/narrative
jujur disiplin malot peculas malot bage embekh begedi me jeme si nemu aku pecaye;;Story/narrative
ketike kite kene tadingken edi khasenen kehlmeneen khalak si kite tadingkan bagas gelukh;;Story/narrative
te let bhamu mesin waktu, hal kae pelin si kau inginken ni khubah ? ;;Story/narrative
menukhutmu kae pin khintangen ngeluh ni mase sendah ? ;;Story/narrative
tekhengken wakhi si malet mende mu;;Story/narrative
kune kau jumpe khut pasangenmu ?;;Story/narrative
kae pelin hal si kau etoh tentang lagu ?;;Culture/Tourism
tekhangken tentang kasmu ni bhelinken ;;Story/narrative
hal kae pelin si kau munyangi njedhi anak khut/anak laki ?;;Story/narrative
menukhutku, si tekhjadhi ni mase depan semua serba canggih dan serba cepat. ;;Story/narrative
menukhutku sen malet mu nukokh kebahagie'en sebab kebahagie'en e malet mu ni ukukh khut sen ;;Story/narrative
taboh,  mantap,  bogoh,  bosih edime kelebihen del kite laus belanje me supermarket ni pekan;;Story/narrative
sedih kapne edi mahanse kae gat khalak mekhase uwas ate;;Story/narrative
mengingetken hidup sehat,  ulang setekhes,  gati olahraga,  ulang gati jage bongi edime si kebijaken nemu ni tekhapken pemekhintah untuk meningkatken gelukh sehat;mengingatkan hidup sehat, jangan stres, sering klah raga, jangan sering bergadang, itulah kebijakan yang bisa diterapkan pemerintah untuk meningkatkan hidup sehat;Story/narrative
malot get ateku edimahanse malot ku kateken malot me sesuatu si malet pas;;Story/narrative
jumpa ataupe khoh khumahne begedime cakhene jumpe khut pasangen kite;;Story/narrative
malet cansu kidah,  malet khembanhsu edi me pemdapetku mengenai kas tadingku bahan;;Story/narrative
lot gelakhne data bes edi mahanse data-data bagas internet e nemu ni Proses;;Story/narrative
kecewe,  teluke,  hancukh begedi me khasene ketike kite kene tadingken khamah kite;;Story/narrative
mantap gat ku bahan del aku no bekhe kepercayen ketike mengelola acakhe tivi;;Story/narrative
bosih,  pecaye dikhi edi sinemu mahan  aku bedi timbang khalak lain;;Story/narrative
suksek bagie malot kaepe si kukhang tel me misalne keadaenku di pige tahun kendatas;sukses bahagia gada apapun yang kurang te ecek ecek nya keadaan ku berapa tahun ke atas;Story/narrative
bahagie ni atene senang ni atene mingkin iye jatuh cinte edi mahanse gat khalak tawe;;Story/narrative
lot rejeki adi akhi edi mahanse gat ku guneken waktuku untuk hal edi;;Story/narrative
khajin belajakh tekuni edi mahanse aku jago ni bidangku;rajin belajar dan tekun itu yang membuat saya jago dibidang saya ;Story/narrative
berbgai khut bermanfaat untuk khalak khe ide positif edi me si nemu kukheken ide untuk lingkungen ni kuteku;berbagi bersama manfaat untuk orang itu ide positif itu yang bisa kita lakukan itu yang bisa kita terapkan di lingkungan keinginanku;Story/narrative
lajang,  renang ni lawe alas sen bue edi hal si mahan aku senang ate;jalan-jalan, berenang di kali alas uang banyak itu suatu hal yang membuat hati senang;Story/narrative
kite tetap kompak ulang egois ulang petendel ulang main semunyangen ulang emosi edi si mahan kite nemu mahan suati si mende;;Story/narrative
ku tengo gelakhne gat senyumi iye babai tandok gedi me cakheku yapa jeme si aku tandai;;Instructions
bahani plin ulang ngeluh selesaiken tuga begedime selesaiken tugas kane selesai ulang metele-tele;;Story/narrative
ulang putoken kidingku ulang putoken tanganku ulanh dabuhken aku ulang ambongken aku ulang lajak aku begedime gat kate boneka e del iye nemu mecekhok;jangan fotokan kakiku jangan fotokan tangan ku jangan jatuhkan aku jangan campakkan aku jangan pihak aku begitulah kata Bone apa bila bisa ia berbicara ;Story/narrative
hal si mejile, senyum,  cikhem,  ulang bodut me edi si nemu kukhen me khalak del mekhen sen malot senpe;;Story/narrative
malot sen,  bue dose,  mangge sukse mange mapan edi me si kujenengi job wakhi tel kaeken dang gedi masene;nggak ada uang, banyak dosa, belum sukses dan belum mapan,ini yang selalu saya renungkan setiap hari,mau di bilang apa memang sudah masanya ;Story/narrative
main bola khut imbang, ngawil,  main kelekheng, khidi ni lawe nangkih deleng edi me si nemu ku cekhiteken kebiasaenmu benin jabu soh be benin tetap semangag keninpe jabu;;Story/narrative
buesene kadang kadangpe gat uwas atene putus cinte ataupe dang galau munking kene musibah edi mahanse iye luakhen lawe mate;banyak uangnya kadang selalu kasihan putus cintanya ataupun sekali galau mungkin karena musibah yang menimpa ya membuat iya mengeluarkan air mata;Story/narrative
edi mahan get atene,  kane puji khalak iye mekhase khebat iye,  kane mantap tekhidah edi mahanse katekene hal si mejile tentang dikhine;;Story/narrative
dang makhun kadang iye ataupe dang malot sehat edi mahanse gat sui atene gat sedihkap ne me gedi ge kebuenen khalak;sedang demam mungkin dia atau kerang sehat,mungkin itu yang buat sakit hatinya,dan sedih rasanya, kebanyakan orang begitu ;Story/narrative
laus haji,  jadi khalak sukses sen bueh nemu bagi khejeki me khalak si tekhem me hal edi ge si nangat kite bahan bagas geluhnde;pergi haji, jadi org sukses,uang banyak bisa di bagikan rezeki sama orang lain hal begini yang pingin kita perbuat dalam hidup ini;Story/narrative
budayene,  sukune,  jemene,  agamene,  bue tule gedangsu del cekhitekin edime mahan get ateku me indonesia mantap mde;;Culture/Tourism
lot si taboh lot sipayah tegantung pimpinen khut situasi kas bahan kite edi me cehite kas bahanku;ada yang enak ada susah tergantung pimpinan sama situasi tempat kerja kita itulah cerita tempat kerjaku;Story/narrative
mantap gat ku bahan ku bahan gat motif alas,  gayo aceh,  batak edi me gat ku bahan baju e;;Story/narrative
ukukhen mejile bhagas geluhku, petebal iman khut akhlak mejile;;Story/narrative
