Prompt ID;Prompt;Hint;Response ID;Response
1541; Apa saja bagian dari wajah manusia. ;lekuk (di dagu);1509;leher
1541; Apa saja bagian dari wajah manusia. ;lekuk (di dagu);2076;dalam di isang
1545; Apa saja bagian dari leher. ;tengkuk//kuduk;1500;kuduk
1545; Apa saja bagian dari leher. ;tengkuk//kuduk;1699;tungkuk 
1547; Apa saja bagian dari leher. ;jakun;1352;gelegok
1547; Apa saja bagian dari leher. ;jakun;1761;tekak
1551; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;luas (dahi);1482;sulqh
1553; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;lentik (bulu mata);1496;melentik
1553; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;lentik (bulu mata);1938;melentik
1553; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;lentik (bulu mata);1740;gedang buk mate
1556; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;berisi//tembam (pipi);1508;awe
1557; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;sempit//kecil (mulut);1363;malet siat /cut (babah)
1557; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;sempit//kecil (mulut);1560;sempit/cenek(Babah)
1557; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;sempit//kecil (mulut);1596;sempit/cut
1586; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;mengedip;1846;cekidop 
1588; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;memejam;1948;tepedem
1591; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;membelalak;1852;melala
1613; Apa yang orang lakukan dengan telinganya. ;menggaruk;1930;garuk
1644; Kata yang menjelaskan cara udara bergerak melalui hidung. ;menghirup;2169;mengengokhi
1644; Kata yang menjelaskan cara udara bergerak melalui hidung. ;menghirup;2412;jaga anak
1646; Kata yang menjelaskan cara udara bergerak melalui hidung. ;mendengus;2170;mendengukh
1646; Kata yang menjelaskan cara udara bergerak melalui hidung. ;mendengus;2380;bising
1647; Kata yang menjelaskan cara udara bergerak melalui hidung. ;bengek;2394;hajar
1651; Apa yang orang lakukan dengan hidungnya. ;menindik;2173;menindikhi
1651; Apa yang orang lakukan dengan hidungnya. ;menindik;2420;sendiri
1652; Apa yang orang lakukan dengan hidungnya. ;memencet;2395;menekan
1716; Apa yang orang lakukan dengan giginya. ;mencabut;2299;bantunken
1716; Apa yang orang lakukan dengan giginya. ;mencabut;2390;tolongkan
1747; Apa saja bagian dari tangan. ;bahu;2447;bakhe
1765; Apa saja bagian dari kaki. ;paha;2322;pakhe
1778; Apa saja bagian dari kaki. ;punggung kaki//kura-kura kaki;2448;tikul kiding,/tikul kiding
1779; Apa saja bagian dari kaki. ;lengkung pada tapak kaki;2451;melekuk ni jampal kiding
1782; Kata yang menjelaskan bentuk kaki seseorang. ;pengkar ke luar (berbentuk X);2456;pengkakh be luakh (mebentuk ex
1870; Apa saja bagian dari rambut atau bulu. ;folikel rambut;2644;pelikat buk
1899; Kata yang menjelaskan arah pertumbuhan rambut di kepala. ;jabrik atau rancung;2771;khancung
1948; Kata yang menjelaskan bentuk daging atau otot seseorang. ;kencang;2875;bukhu
1950; Kata yang digunakan untuk menyebut urat yang menghubungkan otot dan tulang. ;endon;2932;endon nine
1966; Apa saja bagian dari paru-paru dan sistem peredaran napasnya. ;lobus (bagian bulat pada paru-paru);2917;lobus me gelakhne
2046; Kata yang digunakan untuk menyebut alat kelamin laki-laki. ;testis;3119;testis
2055; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan alat kelamin laki-laki. ;seksual;3121;sek belin
2060;Kata yang digunakan untuk menyebut alat kelamin perempuan. ;rahim;3115;layuk
2064; Kata yang digunakan untuk menyebut masa pendarahan. ;mens;3113;mens
2171; Kata yang menjelaskan sifat sesuatu yang mengandung darah. ;mengerikan;3183;sekhem kheme
2175; Kata yang digunakan untuk menyebut perbuatan memberikan darah kepada orang lain. ;transfusi darah;3206;tranfuksi dakhoh
2187; Apa yang orang lakukan terhadap keringatnya. ;mencuci pakaian (yang berpeluh);3197;nesah pake en si mepuluhen
2188; Apa yang orang lakukan terhadap keringatnya. ;mengelap peluh dari dahi;3202;melap pelukh dakhi dahi
2196; Kata yang menjelaskan sifat bau keringat. ;bau peluh yang biasa;3211;mbau peluh si nemu
2222; Kata yang digunakan untuk menyebut tinja//tahi. ;berak//tahi;3307;tai
2227; Kata yang digunakan untuk menyebut tinja//tahi yang cair. ;diare;3318;bkbolen
2231; Kata yang digunakan untuk menyebut membersihkan diri setelah buang air besar. ;bercebok (sendiri);3300;micing sade
2232; Kata yang digunakan untuk menyebut membersihkan diri setelah buang air besar. ;menceboki (orang lain);3385;masuh se
2234; Apa saja yang digunakan untuk bayi, berhubungan dengan buang air besar. ;popok;3322;luakh
2237; Di mana tempat orang biasanya membuang air besar. ;jamban;3346;jambam
2260; Kata yang menjelaskan sifat seseorang yang dapat merasakan hal-hal yang tidak dapat diketahui melalui pancaindra, yang tidak dapat dilakukan oleh orang pada umumnya. ;peka;3371;sigap
2265;Kata yang digunakan untuk menyebut melihat sesuatu. ;menyaksikan;3395;ngidhah, nelengi
2271; Kata yang digunakan untuk menyebut melihat sesuatu yang telah dicari-cari. ;melihat;3412;ngato
2273; Kata yang digunakan untuk menyebut melihat sesuatu yang telah dicari-cari. ;mengamati;3387;mekhatiken 
2299; Kata yang digunakan untuk menyebut melakukan sesuatu sehingga orang lain tidak dapat melihat. ;menghalangi penglihatan seseorang;3468;ngeligeni 
2343; Kata yang digunakan untuk menyebut memperhatikan sesuatu secara terus-menerus. ;mengawasi;3482;awasi
2349; Kata yang digunakan untuk menyebut memperhatikan sesuatu secara diam-diam. ;mengawasi;3483;awasi
2352; Kata yang digunakan untuk menyebut seseorang yang memperhatikan sesuatu. ;pengamat;3474;ahli
2507; Kata yang menjelaskan ciri sesuatu yang cantik. ;hebat;3581;kuatme
2523; Kata yang menjelaskan ciri sesuatu atau seseorang yang tidak cantik ataupun jelek. ;sedang-sedang saja;3598;khembang-khembang pelin 
2546; Kata yang digunakan untuk menyebut memperjelek sesuatu. ;memperjelek;3618;nambahi monol 
2597; Kata yang digunakan untuk menyebut seseorang yang mendengarkan. ;orang yang memasang telinga;3735;jeme si masang cuping
2704; Kata yang digunakan untuk menyebut bunyi guntur. ;berdentum;3809;medegum
2707; Kata yang digunakan untuk menyebut bunyi senapan atau bom. ;berdentum;3797;medegum
2721;Kata yang menjelaskan sifat bunyi yang keras. ;meraung;3796;mengkem
2724; Kata yang menjelaskan sifat suara yang keras. ;berisik;3799;pingekh
2727; Kata yang menjelaskan keadaan sekelompok orang yang berisik. ;gaduh;3805;khubhat
2775; Apa yang orang katakan ketika dia ingin seseorang menjadi tenang. ;hus;3861;hus, tur
2776; Kata yang digunakan untuk menyebut keadaan tidak ada suara apa pun. ;diam;3866;siip
2778; Kata yang digunakan untuk menyebut keadaan tidak ada suara apa pun. ;hening;3870;sekhukh
2781; Kata yang menunjukkan bahwa kita melakukan sesuatu tanpa menimbulkan bunyi apa pun. ;tanpa suara;3875;malot mesakhe
2785;Kata yang digunakan untuk menyebut merasa sesuatu. ;mencicip;3868;ngakapi, akapi
2787; Kata yang digunakan untuk menyebut mencoba merasa sesuatu dengan sengaja. ;mencicip;3869;ngakapi
2821; Kata yang menjelaskan sifat sesuatu yang tidak berasa apa-apa. ;hambar;3890;lain khasene
2832;Kata yang digunakan untuk menyebut membaui sesuatu. ;membaui;3924;mebau
2851; Kata yang digunakan untuk menyebut berbau harum. ;berbau harum;3923;mbau mekhium
2856; Kata yang menjelaskan sifat sesuatu yang baunya harum. ;beraroma;3968;mekhase
70868;Mereka berencana memasangnya di dalam bangunan untuk menaikkan air tanpa pompa.;;664;khencane kalak dhi, memasangne ni bhagas bagunen untuk nangkihken lawe ndak pekek pompa
286368;;di;1513;ni
286368;;di;1873;ini
286374;;nya;1410;we
286379;;oleh;1444;dakhi
286385;;untuk;1799;mekheken
286389;;menjadi;1411;sukhugken
286391;;beberapa;1414;pepigekhi
286391;;beberapa;1812;kekae
286392;;memiliki;1678;nangat
286392;;memiliki;1419;mekhempung
286392;;memiliki;1515;aku pung
286392;;memiliki;1791;milik
286403;;yang;1944;si
286404;;ingin;1939;nangat
286409;;sebuah;2014;sade
286417;;off;2252;jiun
286477;;sama;2376;nokhos
286481;;rendah;2460;khendah
