Prompt ID;Prompt;Hint;Response ID;Response
1541; Apa saja bagian dari wajah manusia. ;lekuk (di dagu);1694;melekuk ni isang 
1545; Apa saja bagian dari leher. ;tengkuk//kuduk;1500;kuduk
1545; Apa saja bagian dari leher. ;tengkuk//kuduk;1699;tungkuk 
1547; Apa saja bagian dari leher. ;jakun;1761;tekak
1547; Apa saja bagian dari leher. ;jakun;1352;gelegok
1547; Apa saja bagian dari leher. ;jakun;1522;jakun
1551; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;luas (dahi);1482;sulqh
1551; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;luas (dahi);1627;mebelang
1553; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;lentik (bulu mata);1496;melentik
1556; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;berisi//tembam (pipi);1508;awe
1557; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;sempit//kecil (mulut);1363;malet siat /cut (babah)
1557; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;sempit//kecil (mulut);1596;sempit/cut
1557; Kata yang menjelaskan bentuk bagian-bagian dari wajah manusia. ;sempit//kecil (mulut);1786;cut
1585; Kata yang digunakan untuk menyebut cara mata bergerak. ;melirik;2021;tekhidah
1586; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;mengedip;1846;cekidop 
1588; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;memejam;1948;tepedem
1591; Kata yang digunakan untuk menyebut cara kelopak mata bergerak. ;membelalak;1852;melala
1613; Apa yang orang lakukan dengan telinganya. ;menggaruk;1930;garuk
1635; Kata yang menjelaskan bentuk hidung seseorang. ;jungkit;2140;kas melelo
1644; Kata yang menjelaskan cara udara bergerak melalui hidung. ;menghirup;2169;mengengokhi
1646; Kata yang menjelaskan cara udara bergerak melalui hidung. ;mendengus;2170;mendengukh
1647; Kata yang menjelaskan cara udara bergerak melalui hidung. ;bengek;2180;hajar
1651; Apa yang orang lakukan dengan hidungnya. ;menindik;2173;menindikhi
1652; Apa yang orang lakukan dengan hidungnya. ;memencet;2176;menekan
1712; Apa yang dilakukan oleh gigi. ;mengunyah;2298;mengkakhat
1716; Apa yang orang lakukan dengan giginya. ;mencabut;2299;bantunken
1747; Apa saja bagian dari tangan. ;bahu;2447;bakhe
1765; Apa saja bagian dari kaki. ;paha;2322;pakhe
1778; Apa saja bagian dari kaki. ;punggung kaki//kura-kura kaki;2448;tikul kiding,/tikul kiding
1779; Apa saja bagian dari kaki. ;lengkung pada tapak kaki;2451;melekuk ni jampal kiding
1782; Kata yang menjelaskan bentuk kaki seseorang. ;pengkar ke luar (berbentuk X);2456;pengkakh be luakh (mebentuk ex
1870; Apa saja bagian dari rambut atau bulu. ;folikel rambut;2644;pelikat buk
1899; Kata yang menjelaskan arah pertumbuhan rambut di kepala. ;jabrik atau rancung;2771;khancung
1948; Kata yang menjelaskan bentuk daging atau otot seseorang. ;kencang;2875;bukhu
1950; Kata yang digunakan untuk menyebut urat yang menghubungkan otot dan tulang. ;endon;2932;endon nine
1966; Apa saja bagian dari paru-paru dan sistem peredaran napasnya. ;lobus (bagian bulat pada paru-paru);2917;lobus me gelakhne
1969; Apa saja bagian dari paru-paru dan sistem peredaran napasnya. ;sistem pernapasan;2895;Igung
2046; Kata yang digunakan untuk menyebut alat kelamin laki-laki. ;testis;3119;testis
2055; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan alat kelamin laki-laki. ;seksual;3121;sek belin
2060;Kata yang digunakan untuk menyebut alat kelamin perempuan. ;rahim;3115;layuk
2064; Kata yang digunakan untuk menyebut masa pendarahan. ;mens;3113;mens
2171; Kata yang menjelaskan sifat sesuatu yang mengandung darah. ;mengerikan;3183;sekhem kheme
2175; Kata yang digunakan untuk menyebut perbuatan memberikan darah kepada orang lain. ;transfusi darah;3206;tranfuksi dakhoh
2187; Apa yang orang lakukan terhadap keringatnya. ;mencuci pakaian (yang berpeluh);3197;nesah pake en si mepuluhen
2188; Apa yang orang lakukan terhadap keringatnya. ;mengelap peluh dari dahi;3202;melap pelukh dakhi dahi
2196; Kata yang menjelaskan sifat bau keringat. ;bau peluh yang biasa;3211;mbau peluh si nemu
2222; Kata yang digunakan untuk menyebut tinja//tahi. ;berak//tahi;3307;tai
2227; Kata yang digunakan untuk menyebut tinja//tahi yang cair. ;diare;3318;bkbolen
2231; Kata yang digunakan untuk menyebut membersihkan diri setelah buang air besar. ;bercebok (sendiri);3300;micing sade
2232; Kata yang digunakan untuk menyebut membersihkan diri setelah buang air besar. ;menceboki (orang lain);3385;masuh se
2234; Apa saja yang digunakan untuk bayi, berhubungan dengan buang air besar. ;popok;3322;luakh
2237; Di mana tempat orang biasanya membuang air besar. ;jamban;3346;jambam
2260; Kata yang menjelaskan sifat seseorang yang dapat merasakan hal-hal yang tidak dapat diketahui melalui pancaindra, yang tidak dapat dilakukan oleh orang pada umumnya. ;peka;3371;sigap
2265;Kata yang digunakan untuk menyebut melihat sesuatu. ;menyaksikan;3395;ngidhah, nelengi
2271; Kata yang digunakan untuk menyebut melihat sesuatu yang telah dicari-cari. ;melihat;3412;ngato
2273; Kata yang digunakan untuk menyebut melihat sesuatu yang telah dicari-cari. ;mengamati;3387;mekhatiken 
2299; Kata yang digunakan untuk menyebut melakukan sesuatu sehingga orang lain tidak dapat melihat. ;menghalangi penglihatan seseorang;3468;ngeligeni 
2343; Kata yang digunakan untuk menyebut memperhatikan sesuatu secara terus-menerus. ;mengawasi;3482;awasi
2349; Kata yang digunakan untuk menyebut memperhatikan sesuatu secara diam-diam. ;mengawasi;3483;awasi
2352; Kata yang digunakan untuk menyebut seseorang yang memperhatikan sesuatu. ;pengamat;3474;ahli
2507; Kata yang menjelaskan ciri sesuatu yang cantik. ;hebat;3581;kuatme
2523; Kata yang menjelaskan ciri sesuatu atau seseorang yang tidak cantik ataupun jelek. ;sedang-sedang saja;3598;khembang-khembang pelin 
2545; Kata yang digunakan untuk menyebut keadaan jelek. ;kejelekan;3654;malot mende
2546; Kata yang digunakan untuk menyebut memperjelek sesuatu. ;memperjelek;3618;nambahi monol 
2559; Kata yang digunakan untuk menyebut kacamata. ;lensa bifokal (untuk melihat benda jauh dan dekat);3663;uwe mede tel untuk kae gunene del dak edi
2586; Kata yang menjelaskan sifat sesuatu yang berkaitan dengan pendengaran. ;audio;3747;audio
2592; Kata yang digunakan untuk menyebut mendengarkan seseorang sementara dia tidak tahu bahwa kita sedang mendengarkannya. ;mencuri dengar;3732;ngengohkhi pemege khalak
2597; Kata yang digunakan untuk menyebut seseorang yang mendengarkan. ;orang yang memasang telinga;3735;jeme si masang cuping
2599;Kata yang digunakan untuk menyebut sesuatu yang didengar. ;bunyi;3744;mesakhe
2606; Kata yang digunakan untuk menyebut proses di mana seseorang atau sesuatu membuat suatu bunyi. ;membuat kegaduhan;3745;makhan khibut
2643; Kata yang digunakan untuk menyebut bunyi yang terjadi tiba-tiba. ;teriakan;3765;mesakhut
2644; Kata yang digunakan untuk menyebut nada suatu bunyi. ;titinada;3762;titenade
2645; Kata yang digunakan untuk menyebut nada suatu bunyi. ;nada;3766;nade
2647; Kata yang digunakan untuk menyebut nada suatu bunyi. ;perubahan nada;3774;perubahen nade
2653; Kata yang digunakan untuk menyebut bunyi yang bernada rendah. ;rendah;3761;tekhuh
2657; Kata yang digunakan untuk menyebut bunyi yang dihasilkan oleh sesuatu yang dibanting atau tertubruk barang lain. ;keletak;3773;cibalken
2658; Kata yang digunakan untuk menyebut bunyi yang dihasilkan oleh sesuatu yang dibanting atau tertubruk barang lain. ;debam;3771;debam
2660; Kata yang digunakan untuk menyebut bunyi ketika sesuatu pecah atau patah. ;letup;3768;letup
2665; Kata yang digunakan untuk menyebut bunyi ketika dua benda saling menggesek satu sama lain. ;keriang-keriut;3775;kekhiang-kekhiut
2704; Kata yang digunakan untuk menyebut bunyi guntur. ;berdentum;3809;medegum
2707; Kata yang digunakan untuk menyebut bunyi senapan atau bom. ;berdentum;3797;medegum
2721;Kata yang menjelaskan sifat bunyi yang keras. ;meraung;3796;mengkem
2724; Kata yang menjelaskan sifat suara yang keras. ;berisik;3799;pingekh
2727; Kata yang menjelaskan keadaan sekelompok orang yang berisik. ;gaduh;3805;khubhat
2732; Kata yang menjelaskan sifat bunyi yang keras dan rendah. ;bergema;3823;megemakh
2737; Kata yang digunakan untuk menyebut bunyi yang keras. ;bising;3848;khecok
2745; Kata yang digunakan untuk menyebut membuat bunyi yang keras. ;meraungkan;3824;meraungken
2775; Apa yang orang katakan ketika dia ingin seseorang menjadi tenang. ;hus;3861;hus, tur
2776; Kata yang digunakan untuk menyebut keadaan tidak ada suara apa pun. ;diam;3866;siip
2781; Kata yang menunjukkan bahwa kita melakukan sesuatu tanpa menimbulkan bunyi apa pun. ;tanpa suara;3875;malot mesakhe
2785;Kata yang digunakan untuk menyebut merasa sesuatu. ;mencicip;3868;ngakapi, akapi
2787; Kata yang digunakan untuk menyebut mencoba merasa sesuatu dengan sengaja. ;mencicip;3869;ngakapi
2821; Kata yang menjelaskan sifat sesuatu yang tidak berasa apa-apa. ;hambar;3890;lain khasene
2832;Kata yang digunakan untuk menyebut membaui sesuatu. ;membaui;3924;mebau
2838; Kata yang digunakan untuk menyebut mencoba membaui sesuatu dengan sengaja. ;menciumi;3892;mensemokhi
2847; Kata yang digunakan untuk menyebut bau sesuatu. ;hawa;3965;hawa
2851; Kata yang digunakan untuk menyebut berbau harum. ;berbau harum;3923;mbau mekhium
2854; Kata yang digunakan untuk menyebut berbau busuk. ;berbau tidak sedap;3926;mbau malot taboh
2860; Kata yang menjelaskan sifat sesuatu yang baunya busuk. ;busuk;3936;macik
2863; Kata yang menjelaskan sifat sesuatu yang baunya busuk. ;anyir;3937;anyikh
2865; Kata yang digunakan untuk menyebut bau harum. ;harum;3996;khakhu
2872; Kata yang orang gunakan untuk mengatakan bahwa sesuatu berbau busuk. ;bah;4014;bah
2877; Kata yang menjelaskan sifat sesuatu yang mudah tercium. ;berbau kuat;4020;mebau kuat
2880; Kata yang menjelaskan sifat sesuatu yang tidak mudah tercium. ;baunya samar-samar;4008;mbaune samar2
2886; Kata yang digunakan untuk menyebut penyebaran bau. ;merebak;4189;merebak
2888; Kata yang digunakan untuk menyebut membuang bau busuk. ;mengeluarkan udara busuk dari ruangan;4218;uweken plin kane
2894; Apa benda yang orang gunakan untuk membuang atau menutup bau busuk. ;wangi-wangian;4281;mekhium
2895; Kata yang digunakan untuk menyebut memencet hidung supaya tidak mencium bau apa-apa. ;memencet hidung;4149;menekan igung
2896;Kata yang digunakan untuk menyebut merasa sesuatu. ;merasa;4154;mekhase
2898; Kata yang digunakan untuk menyebut mencoba merasa sesuatu dengan sengaja. ;menyentuh;4148;mengelem
2899; Kata yang digunakan untuk menyebut mencoba merasa sesuatu dengan sengaja. ;meraba;4159;ngekhabai
2913; Kata yang menjelaskan sifat sesuatu yang rasanya baik. ;menenangkan;4183;menenagken
2916; Kata yang menjelaskan sifat sesuatu yang rasanya buruk. ;menjengkelkan;4190;maneki
2923; Kata yang digunakan untuk menyebut perasaan yang buruk. ;jengkel;4315;panek
2924; Kata yang digunakan untuk menyebut perasaan yang buruk. ;geli;4203;gamong
3371; Kata yang menjelaskan keadaan salah satu anggota tubuh yang terluka. ;cedera;4482;mekhugah
3375; Kata yang digunakan untuk menyebut luka. ;lebam//memar;4468;lembam
3733;Kata yang digunakan untuk menyebut keadaan linglung atau bingung. ;tidak waras;4511;malot wakhas
3794; Kata yang digunakan untuk menyebut menghilangkan rasa sakit. ;membius;4569;membius
4031; Kata yang digunakan untuk menyebut menikah dengan lebih dari satu orang. ;bigami;4685;bigami
4042; Kata yang digunakan untuk menyebut menikahi seorang kerabat dekat. ;inses;4683;inses
4215; Kata yang digunakan untuk menyebut ingin mengadakan hubungan seks. ;terdorong secara seksual;4730;ilebedih
4264; Kata yang digunakan untuk menyebut menggoda//membujuk seseorang untuk melakukan hubungan seks di luar pernikahan. ;menggoda;4805;mengodr
4281; Kata yang digunakan untuk menyebut melakukan hubungan seks pada diri sendiri. ;masturbasi;4807;men
4285; Kata yang digunakan untuk menyebut hubungan seks di antara saudara dekat. ;inses;4808;ni bagas
4290; Kata yang digunakan untuk menyebut hubungan seks antara dua orang yang sama jenis. ;homoseksual;4810;nakhi khut nakhi main
4325;Kata yang digunakan untuk menyebut proses pada saat seorang pria menyebabkan seorang wanita menjadi hamil. ;mereproduksi;4837;alat kelamin
4328; Kata yang digunakan untuk menyebut proses seorang wanita menjadi hamil. ;hamil;4824;khamil
4335; Kata yang digunakan untuk menyebut masa ketika wanita sedang hamil. ;kehamilan;4822;kekhamilen
4342; Kata yang digunakan untuk menyebut bagian dari ayah dan bagian dari ibu yang akan menghasilkan seorang bayi. ;sperma;4821;igit
4343; Kata yang digunakan untuk menyebut bagian dari ayah dan bagian dari ibu yang akan menghasilkan seorang bayi. ;ovum;4827;pepes
4349; Kata yang digunakan untuk menyebut bagian-bagian di sekitar janin yang menghubungkannya dengan rahim ibunya. ;tembuni//ari-ari;4836;ketuban
4388; Kata yang digunakan untuk menyebut persalinan yang sukar. ;susah melahirkan;4895;lalit
4390; Kata yang digunakan untuk menyebut ibu yang meninggal dunia ketika bersalin. ;meninggal pada saat melahirkan;4899;mate ho
4398;Kata yang digunakan untuk menyebut mempunyai banyak anak. ;keluarga besar;4900;bhgede
4441; Kata yang digunakan untuk menyebut menggendong bayi. ;menimang;5624;gelomi
4442; Kata yang digunakan untuk menyebut menggendong bayi. ;mengayun-ayun;5629;main ayunen
4444; Kata yang digunakan untuk menyebut usaha menenangkan bayi yang sedang menangis. ;mendiamkan;5625;mensipken
4447; Apa benda yang digunakan untuk membawa bayi. ;kain gendong;5631;uwis tempi
4451; Di mana tempat meletakkan bayi. ;buaian;5636;buenen
4455; Kata yang digunakan untuk menyebut proses ketika bayi membuang air kecil atau membuang air besar. ;membuang air besar;5626;sedang micing
4565; Apa masalah yang dihadapi oleh orang-orang yang lanjut usia. ;penuaan;5726;sikel metue 
20519;Kebijakan apa yang bisa diterapkan pemerintah untuk meningkatkan kesehatan masyarakat?;;4774;jejejee ieieiejd jejdjdjdjd jrjrjrjrjrjr
20520;Apa mimpi paling menakutkan yang pernah Anda alami?;;4777;fffhyf teefuucdd fedghjfeddetg rethr3thtr
20520;Apa mimpi paling menakutkan yang pernah Anda alami?;;4700;kidah takal anak2 ipene tajom gat kakhatne aku
20522;Jika Anda bisa mendesain acara televisi seperti apa jadinya?;;10766;ike aku guk mendesain acara tivi lagu hana jadi e
20523;Kombinasi rasa apa yang Anda sukai, dan mengapa rasanya begitu enak?;;2913;sayukh ikan mas khut acem
20523;Kombinasi rasa apa yang Anda sukai, dan mengapa rasanya begitu enak?;;3803;khase mis khut melemak, kakhene dhue khase nicampukh
20525;Bagaimana standar kecantikan berubah dalam hidup Anda?;;10788;kune cara standar kejerohen berubah was murib ku
20526;Apa cerita terbaik dari sekolah atau tempat kerja?;;10795;hana cerite terjeroh ari sekolah atau i tempat buet
70562;Jadi selalu lucu dan segar, selalu diingat orang, tambahnya.;;726; senakh njadi lucu khut gembikhe, nakh inget kalak, tule
70868;Mereka berencana memasangnya di dalam bangunan untuk menaikkan air tanpa pompa.;;664;khencane kalak dhi, memasangne ni bhagas bagunen untuk nangkihken lawe ndak pekek pompa
71111;Ia mempunyai empat orang istri yang berasal dari pelbagai negeri.;;725;let bekhune empat, asalne pepige negekhi akhi
285927;Bagaimana inflasi bisa terjadi?;;5676;jdjsbsje jeieiej ieieiejd ieiejejrkejrjrj
285927;Bagaimana inflasi bisa terjadi?;;1322;salam paham
285931;Menurutmu bagaimana pernikahan seharusnya?;;5677;marriage should be a covenant between one man and one woman and God
285931;Menurutmu bagaimana pernikahan seharusnya?;;4692;ahus kompak dan tangung jawab ulang males kite
285931;Menurutmu bagaimana pernikahan seharusnya?;;1468;hakhus Lot dasakh cinte 
285933;Jika memungkinkan, bagaimana caramumu berkeliling dunia?;;6774;dengan memiliki uanggg yang banyak dan bisa naik pesawat jadi bisa keliling dunia
285933;Jika memungkinkan, bagaimana caramumu berkeliling dunia?;;3836;khajin belajar,  khajin nabung kane bue sen kane got te khalak kane kite jadi khalak bayak nemu kite tukokh gat pesawat soh sekhatus bahkan nemu gat kite tukokh soh sekhibu del bue pesawat kite me taboh kite gat keliling duniepe
285937;Bagaimana pendapat kamu tentang kondisi keuangan tempat kamu bekerja?;;1324;parakh kidah
285937;Bagaimana pendapat kamu tentang kondisi keuangan tempat kamu bekerja?;;7617;kondisi keuangenku,ni Kaskus menahan stabil
285937;Bagaimana pendapat kamu tentang kondisi keuangan tempat kamu bekerja?;;4477;te pendapetku tentang keuangen ni kas ku mebahan mejile kalihen kakhene honor kemi medhalan mejile malet kendala ne
285939;Apa saja rasa frustasi yang kamu alami selama kamu hidup?;;12704;frustasi si ndak aku ingin ken, atau v ndak nae ingin gidah se
285941;Ceritakan keadaan kamu dalam beberapa tahun ke depan?;;3672;suksek bagie malot kaepe si kukhang tel me misalne keadaenku di pige tahun kendatas
285941;Ceritakan keadaan kamu dalam beberapa tahun ke depan?;;6902;Keadaenku pepige tahun bhe muke, alu memkhencane 
285943;Mengapa kamu mendedikasikan waktumu untuk suatu hal?;;3677;lot rejeki adi akhi edi mahanse gat ku guneken waktuku untuk hal edi
285943;Mengapa kamu mendedikasikan waktumu untuk suatu hal?;;7629;kae gat kao korbanken waktumu untuk sebuah hal?
285948;Ceritakan tentang pengalaman kerjamu.;;6790;pengalamen waktu mebhahanku, mbue kane si kuinget, petame mulai mebhahan malot kae pe tampil, tekhus belajakh akhekhne khoh ukhokne
285948;Ceritakan tentang pengalaman kerjamu.;;1602;get ne ateku
285948;Ceritakan tentang pengalaman kerjamu.;;3742;lot si taboh lot sipayah tegantung pimpinen khut situasi kas bahan kite edi me cehite kas bahanku
285949;Ceritakan tentang kesibukanmu akhir-akhir ini.;;1374;cinta
285949;Ceritakan tentang kesibukanmu akhir-akhir ini.;;3821;khayak kidah bahanenku sendah dang berjuang aku ngurus website wisata edime si nemu kucekhiteken wakhinde sebenakhne bue tong kesibukenku bage nulia pelajakhen tentang kune mahan media mejile ni website kane got te khalak
285950;Apa saja motivasi kamu dalam bekerja?;;3832;semangat ulang mengeluh ulang penah lemes harus semangat ulang pebual ulang pepelin lemes, harus khajin displin dan kite ulang penah melawan me atasen kite harua senakhen bahani tugas kite dan kite harus memotivasi dikhi sendikhi
285950;Apa saja motivasi kamu dalam bekerja?;;7632;motivasi ku bagas mebahan  kakhene aku nangat jadi kalak sukses ni bidang ku ni, dape pe aku mabahan aku nangat mebahan bagas sebuah tim untuk memajuken kas mebahan ku sokhte meningkatken pengalamenku
285952;Apa saja hal yang menarik minat kamu?;;1512;hal si paling menakhik minat ku Edi melelo bola
285952;Apa saja hal yang menarik minat kamu?;;3822;senang me ateku tel lot sito sen alhamdulillah kite ucapken me gedikin tel kaeken dang gedi masene lot masene senang lot masene susah badai pasti berlalu intine kite sabakh ikhtiar sukukhi geluhne ulang buesu mengeluh
285953;Apa saja hal yang kamu harapkan dalam kehidupanmu?;;3896;bermanfaat me jeme si tekhem edi mesiku khakhapken
285954;Apa pendapat kamu tentang situasi saat ini di negara ini?;;3843;buesu kidah masalah go ni negakhe  de pe toh nae intine sendah kite ikuti si lukhus plin si salah kite tadingken ulang mudah kite kene pancing gat mahan gelukhte emosi dan malot megune intine semangat plin
285954;Apa pendapat kamu tentang situasi saat ini di negara ini?;;1488;Cukup aman-aman plin
285954;Apa pendapat kamu tentang situasi saat ini di negara ini?;;7638;bagas situasi sendah si ku amati kadang tren gaye anak sendah semakin menuju jaman akhikh jaman, bue kalak malot sehat
285955;Apa saja hal yang dapat membuat kamu senang?;;3722;lajang,  renang ni lawe alas sen bue edi hal si mahan aku senang ate
285955;Apa saja hal yang dapat membuat kamu senang?;;7643;ni saat aku nemu mahan cikhem kakh'tue ku
285955;Apa saja hal yang dapat membuat kamu senang?;;1442;laus lajang
285955;Apa saja hal yang dapat membuat kamu senang?;;7644;Mahan aku senang,khaun2,mangan2,lot sen belanje
285956;Menurutmu bagaimana kabar semua temanmu saat ini?;;1404;menukhut ndu kune kabakh kekhine imbang mu sendah
285956;Menurutmu bagaimana kabar semua temanmu saat ini?;;4520;lot si senang lot si sedig edi me kabakh imbangku saat sendah
285957;Apa saja hal yang kamu suka lamuni?;;1406;kehidupan
285957;Apa saja hal yang kamu suka lamuni?;;7653;pas sendikhi dang malot sen memikekhken digan aku sukses
285958;Apa saja hal yang ingin kamu lakukan dalam hidup ini?;;7663;hal yang ingin kubahani ni Bagas geluhku,pebue ibadah,medoe tebeken Allah moge mbue khezeki ni bekheken side,nemu umroh tiap tahun,nemu nekolahken anak Kane anak2 jadi anak yg shaleh dan shaleha
285958;Apa saja hal yang ingin kamu lakukan dalam hidup ini?;;1400;kalak lain
285959;Apa saja hal yang ingin kamu capai dalam hidup ini?;;3837;jadi khalak soleh jadi khalak bayak begune me khalak si tekhe ulang jahat ulang jadi jemen laknat khut jeme si pepelin kumat nangat buah aku umrohken khabg tueku kane nemu laus me tanoh suci mekah al mukaramah 
285959;Apa saja hal yang ingin kamu capai dalam hidup ini?;;6785;kae-kae pelin si nangat kucape bhagas nggeluh nde mbue, njadhi kalak megune be jeme sintekhem, ndatas sekolah, mu njadi ikuten 
285960;Apa yang kamu harapkan saat bangun tidur?;;3840;si khakhaken nemu aku sikat gigi pul edi nelukh baju bakhu pakai resona guneken parpum guneken miak buk lot banakan si taboh bage kepiting,  siput jukut bekih sayukh yuh tabohne di edi me sikukhakhapken
285960;Apa yang kamu harapkan saat bangun tidur?;;1557;mek ku tong sehat plin 
285961;Mengapa anak-anak sangat menyukai film kartun?;;7658;kakhne lucu, te malot lucu malet tonton kalak
285961;Mengapa anak-anak sangat menyukai film kartun?;;3911;mantap flim e tel khamah me wajakh anak2 hobi
285963;Apa saja hal yang membuat kamu merasa dicintai?;;2155;nis sayang, ni perhatiken,  nimasihi
285965;Jika boneka bisa berbicara, hal apa saja yang akan mereka sampaikan?;;7662;aku boneka si kenin get ate bende kenin ase ku leloken
285965;Jika boneka bisa berbicara, hal apa saja yang akan mereka sampaikan?;;1704;kenalken diri, 
285966;Hal apa saja yang kamu suka berikan kepada orang lain?;;1710;kae mampu, kae let bangku
285968;Mengapa seseorang dapat menangis bahagia?;;7665;kakhne tekhakhu senang su ate ne lenih senang ne
285968;Mengapa seseorang dapat menangis bahagia?;;3736;buesene kadang kadangpe gat uwas atene putus cinte ataupe dang galau munking kene musibah edi mahanse iye luakhen lawe mate
285969;Mengapa seseorang dapat menangis sedih?;;1780;kae jeme dapet tangis sedih ne
285969;Mengapa seseorang dapat menangis sedih?;;7668;kaekhne sedih su akap ne lebih sedih ne gedi ku khase aku pe
285987;Hal apa saja yang membuat kamu senang mempelajari bahasa lain?;;12758;kane nemu ku toh bahasa lain di daerah luakh v kane nemu lajang ndak tersesat pagi
285987;Hal apa saja yang membuat kamu senang mempelajari bahasa lain?;;1817;kae pe mu kau bahani asal kau senang mbelajakhi bahase lain 
285995;Seperti apa bentuk mapan secara finansial menurut pandanganmu?;;12775;sukses secakhe finansial khajin baik sukses
285996;Seperti apa bentuk kedewasaan menurut pandanganmu?;;5660;dang hu boto nggo mena molo songoni molo ho songon dia
285996;Seperti apa bentuk kedewasaan menurut pandanganmu?;;2310;pola pikir mencerminken kedewasaen
285997;Bagaimana cara kamu mencapai tujuanmu?;;2944;usaha dan sabar
285997;Bagaimana cara kamu mencapai tujuanmu?;;12776;akhus ikhtiakh medoe me Tuhan akhus bekerja kekhas
285999;Apakah keluarga penting untukmu? mengapa seperti itu?;;15124;sangat penting keluarga khut aku ?
286000;Bagaimana cara kamu menenangkan diri?;;1838;kae mahan kau senangken dikhi?
286000;Bagaimana cara kamu menenangkan diri?;;7731;sante sesade minum kopi Gat takhik khokok
286004;Apa kenangan favoritmu tentang hubungan dengan pasanganmu?;;1613;maso sibuk
286004;Apa kenangan favoritmu tentang hubungan dengan pasanganmu?;;7737;lajang kami dang aku kuliah Medan kale pakek sen gaji pertama mebahanku ni medan
286015;Adakah hal yang ingin sekali kamu lakukan tapi belum terwujud? Mengapa?;;2491;nanggat laus umbroh tapi mangge lot khejeki
286015;Adakah hal yang ingin sekali kamu lakukan tapi belum terwujud? Mengapa?;;7815;melakhee itik
286015;Adakah hal yang ingin sekali kamu lakukan tapi belum terwujud? Mengapa?;;4731;I don't know. yes, I don't know. what? yeah, I don't know lho kok gitu kali sih
286021;Apa kamu dekat dengan ibumu? Seperti apa hubungan antara kamu dan ibumu?;;12942;donoh lah ape tule anak terakhir de taboh yah
286027;Misalnya kamu meninggal tiba-tiba malam ini. Apa kamu akan menyesal karena belum sempat menyampaikan hal pada seseorang? Lalu mengapa kamu masih menyimpannya?;;4732;what do you know? what do you know? Please leave the package by the door. Thanks! Wait a minute, I'll be right back.
