prompt_id;prompt;hint;response_id;user_id;response;check_response_id;check_user_id;check_response;check_type
286521;;turun;7967;334;tukhun ;8868;407;turun ;dailyCheck
286522;;jumlah;8109;334;jumlah ;9585;472;jumlah;dailyCheck
286523;;kepala;8063;334;takal;10419;412;kepala;dailyCheck
286524;;negara;8066;334;negakhe;10461;414;negara;dailyCheck
286525;;tumbuh;8071;334;miil;14621;517;miil;checkData
286526;;berdiri;8075;334;cindokh ;14329;560;berdiiri;
286527;;halaman;8079;334;halamen;13472;525;halaman;dailyCheck
286528;;jawaban;8085;334;jawaben;13786;533;jawaban;dailyCheck
286529;;mungkin;8089;334;mungkin ;10405;429;mungkin;dailyCheck
286530;;pertama;8092;334;petame;9273;472;pertama;dailyCheck
286532;;sendiri;8112;334;sade;14435;517;sendiri;
286533;;sekarang;8115;334;sendah;9810;434;sekarang;dailyCheck
286534;;ditemukan;8116;334;ni dapet;9356;378;di dapat ;dailyCheck
286535;;panggilan;8117;334;tenggoen;15293;575;panggilin;
286536;;berkunjung;7497;289;tandang;10635;378;bertamu ;dailyCheck
286537;;lebih dari;8139;334;lebih dakhi;14659;535;lebih dari ;
286538;;sebagian besar;8140;334;sebagian belin;12998;560;sebagian besar;dailyCheck
286540;;jauh;2930;214;dauh;3062;249;jauh;dailyCheck
286541;;kiri;2921;214;kikhi;3052;249;kiri;dailyCheck
286543;;lalu;8083;334;te;14363;555;trus;
286544;;laut;8086;334;laut;10327;436;laut;dailyCheck
286545;;mata;8091;334;mate;14338;560;mata;
286546;;empat;8121;334;empat ;12892;525;empat;dailyCheck
286547;;keras;8124;334;kuat;15020;494;kuat;
286548;;masih;8125;334;tong ;13074;486;masi;dailyCheck
286549;;pohon;8128;334;batang;8375;397;batang;dailyCheck
286550;;start;8129;334;mulqi;14070;575;engak tau;
286551;;terus;8130;334;tekhus;12930;560;terus;dailyCheck
286552;;antara;8137;334;antakhe;13998;560;antara;
286553;;cerita;8138;334;cekhite;12853;525;cerita;dailyCheck
286565;;tidak pernah;8289;334;Ajukan nggak cair cair;14622;517;Ajukan enggak keluar-keluar ;
286577;;malam;8306;334;Ajukan nggak cair cair;10641;477;mana ni duit;dailyCheck
286581;;utara;8288;334;Ajukan nggak cair cair;15017;494;ajuken nggak caikh-caikh;
286617;;bersama-sama;8337;377;kekhuut;10398;434;bersama sama;dailyCheck
286628;;kelas;8316;319;kelas;10787;533;kelas;dailyCheck
286629;;merah;8315;319;megakhe;10637;378;merah ;dailyCheck
286630;;pintu;8317;319;pintu ;12822;472;pintu;dailyCheck
286368;;di;1513;204;ni;3446;171;di;dailyCheck
286372;;ini;1371;237;bunga;2044;209;bunga;dailyCheck
286373;;itu;1611;236;edi;7104;272;itu;dailyCheck
286374;;nya;1751;206;uwe;5714;186;iya ;dailyCheck
286375;;anda;1545;204;kandu;2055;233;anda;dailyCheck
286379;;oleh;1686;209;kakhene;1880;169;karena;dailyCheck
286385;;untuk;1708;209;gune;2213;214;guna;dailyCheck
286386;;adalah;1701;238;let me;1977;249;ada itu;dailyCheck
286389;;menjadi;1399;202;jadhi;2036;209;jadi;dailyCheck
286391;;beberapa;1691;238;pige;3627;171;berapa;dailyCheck
286392;;memiliki;1515;202;aku pung;2087;205;aku punyak;dailyCheck
286394;;end;1898;169;khut;2233;214;ikut;dailyCheck
286402;;tiga;1905;169;telu;2110;249;tiga;dailyCheck
286409;;sebuah;2014;249;sade;2426;249;sendiri;dailyCheck
286411;;lainnya;1914;215;laeine;2119;249;lainya;dailyCheck
286414;;melakukan;1996;249;melakuken;2209;214;malakukan;dailyCheck
286415;;memberitahu;1931;209;kabari;2234;214;kabari;dailyCheck
286461;;datang;7410;288;khoh;8062;334;datang ;dailyCheck
286483;;berarti;2462;249;bekhati;2535;214;berarti;dailyCheck
286486;;melalui;7992;334;melalui ;14235;560;melalui;
286488;;terlalu;8027;272;terlalu;14270;560;terlalu;
286492;;formulir;7484;289;isien;11804;526;isian;dailyCheck
286494;;penyebab;7479;289;sebabne;12820;536;Penyebabnya seseorang tidak bisa di ajak berbicara dengan baik karena mereka percaya kepada diri mereka sendiri;dailyCheck
286496;;memberikan;7475;289;kheken;16190;324;kasihkan;
286497;;mengatakan;8006;272;mengateken;14210;575;mengatakan;
286500;;hal;8004;272;hal;15356;575;hal;
286502;;hari;2599;169;wakhi;2687;249;hari;dailyCheck
286508;;ketika;7476;289;sebuah mase;14196;575;sebuah masa;checkData
286510;;menulis;7480;289;sedang nulis;10441;412;Ndang nulis;dailyCheck
286515;;air;7975;334;lawe;15137;575;air;
286517;;sisi;8016;272;sisi;14758;0;sisi rumah ya bagus sehingga indah di lihat;
286525;;tumbuh;8071;334;miil;15246;575;mil;checkData
286531;;sekolah;8110;334;sekolah ;13898;535;sekolah ;
286538;;sebagian besar;7498;289;si mbuene;10531;472;si banyak;dailyCheck
286542;;kota;8077;334;kute;14248;560;kota;
286549;;pohon;8128;334;batang;10664;400;pokok coklat emang sekarang ini agak lain sebagian pokok nya udah tua dan buah nya juga sebagian udah tidak bagus ;dailyCheck
286837;;kereta;6990;272;kekhete;13223;420;kereta ;dailyCheck
286838;;langit;6988;272;langit;8251;334;langit ;dailyCheck
286840;;materi;6984;272;materi;15351;575;materi;
286841;;posisi;6979;272;keberadaan/tempat ;8270;334;keberatan ;dailyCheck
286843;;latihan;6982;272;latihen;8180;334;latihan ;dailyCheck
286844;;berlayar;6985;272;ngalukh;14439;517;berjalan;
286845;;sukacita;6987;272;senang gembira;8095;334;senang gembira ;dailyCheck
286846;;membuktikan;6989;272;membuktiken;8209;334;membuktikan ;dailyCheck
286847;;musim panas;6991;272;musim hangat;13010;560;Musim hangat;dailyCheck
286870;;menyenangkan;6996;272;senang kalihen;8196;334;senang sekali ;dailyCheck
286871;;musim dingin;6994;272;musim mbogoh;14069;575;musim dingin;
286872;;mati;3974;214;mate;13042;552;mati;dailyCheck
286873;;nada;4012;214;nade;5970;171;nada;dailyCheck
286875;;benih;3969;214;benikh;8047;334;bener ;dailyCheck
286876;;buruk;4029;214;monol;8214;334;jelek;dailyCheck
286877;;darah;4017;214;dakhoh;5981;171;darah;dailyCheck
286878;;mulut;3977;214;babah;4636;169;mulut;dailyCheck
286879;;tepat;4035;214;tepat;5946;171;tepat;dailyCheck
286880;;bersih;3992;214;bosikh;7335;287;bersih;dailyCheck
286881;;kantor;3997;214;kantokh;4351;171;kantor;dailyCheck
286882;;melodi;3986;214;malodi;14257;560;melodi;
286883;;minyak;4026;214;miyak;10288;436;minyak goreng;dailyCheck
286884;;persen;4037;214;persen;4359;171;pekhsen;dailyCheck
286885;;sentuh;4001;214;deges;5964;171;sentuh;dailyCheck
286886;;simbol;4030;214;simbol;4365;171;tanda;dailyCheck
286888;;kecuali;4007;214;kecuali;10463;412;kecuali;dailyCheck
286889;;pukulan;4000;214;pukulen;8054;334;pukulan;dailyCheck
286890;;menerima;4039;214;menekhime;14108;575;engak tau;
286892;;berteriak;4015;214;ndempik;8266;334;teriak;dailyCheck
286894;;perjalanan;4044;214;pedalanen;4369;171;perjalanan ;dailyCheck
286896;;menyarankan;4013;214;mekhayeken;8789;472;merayakan;dailyCheck
286899;;Bank;4048;214;bank;7936;334;bank;dailyCheck
286900;;lain;4025;214;lain;8895;472;lain kane;dailyCheck
286901;;saat;4049;214;saat;5974;171;saat;dailyCheck
286903;;cocok;6899;171;sesue;14259;560;sesuai;
286904;;danau;6901;171;paye;15018;494;rawa;
286905;;kasus;4056;214;kasus;5773;169;kasus;dailyCheck
286906;;kawat;6898;171;kawat;7674;319;kawat;dailyCheck
286907;;pecah;4027;214;pecakh;8176;334;pecah;dailyCheck
286910;;coklat;4241;214;coklat;10518;431;coklat;dailyCheck
286912;;hilang;4257;214;mbene;4400;171;hilang;dailyCheck
286913;;tengah;4326;214;tengah;5991;171;di tengah;dailyCheck
286914;;desimal;4259;214;desimal;14111;486;desimal;
286915;;dikirim;4262;214;nikikhim;10449;412;di kirim;dailyCheck
286917;;memakai;4264;214;mamakai;7940;334;menggunakan ;dailyCheck
286919;;membunuh;4269;214;membunuh;5932;171;membunuh;dailyCheck
286920;;mengalir;4266;214;mengalirkh;7907;334;mengalir;dailyCheck
286921;;mencampur;4272;214;mecampukh;5776;169;bercampur;dailyCheck
286922;;menyimpan;4270;214;menyimpan;12819;472;menyimpan;dailyCheck
286923;;mengumpulkan;4274;214;mengumpulkan;5900;171;mengumpulkan;dailyCheck
286924;;awan;4280;214;embun;13460;525;embun;checkData
286925;;susu;4327;214;susu;4391;171;susu;dailyCheck
286926;;usia;4286;214;usie;4411;169;usia;dailyCheck
286927;;dress;4290;214;dress;13011;560;dress;dailyCheck
286928;;kamus;4276;214;kamus;4392;171;kamus;dailyCheck
286929;;kunci;4294;214;kunci;7114;279;kunci;dailyCheck
286930;;lurus;4328;214;lukhus;5905;171;lurus;dailyCheck
286931;;organ;4298;214;bagien tububh;13117;420;bagian tubuh;dailyCheck
286933;;bangsa;4332;214;bangsa;8230;334;bangsa;dailyCheck
286934;;bottom;4337;214;bottom;10543;400;bottom ;dailyCheck
286935;;desain;4338;214;mekhangcang;7102;272;merencanakan;dailyCheck
286936;;metode;4312;214;metodr;14288;560;metode;
286937;;miskin;4314;214;miskin;4404;171;miskin;dailyCheck
286938;;tenang;4339;214;tenang;4373;169;tenang;dailyCheck
286939;;kejutan;4316;214;kejuten;15042;575;kejutan;
286940;;konsonan;4340;214;konsonan;13098;552;konsonan;dailyCheck
286942;;kecepatan;4322;214;kecepaten;10942;533;kecepatan;dailyCheck
286944;;percobaan;6995;272;cube2;7948;334;coba coba ;dailyCheck
287110;;ruas;7578;318;ukhukhen;8380;397;buruk;dailyCheck
287111;;bebek;7581;318;itik;10571;465;bebek;dailyCheck
287122;;pidato;7575;317;pidatokh;8280;334;pidato ;dailyCheck
287123;;sayang;7574;317;sayang;8413;399;sayang;dailyCheck
287150;;pengalaman;7052;272;pengalanen;7956;334;pengenalan ;dailyCheck
287151;;keterampilan;7050;272;ketekhampilen;8108;334;keterampilan ;dailyCheck
287152;;pertandingan;7047;272;pertandingan;10601;477;pertandingan;dailyCheck
287153;;mendiskusikan;7046;272;mendiskusikan;8104;334;mendiskusikan ;dailyCheck
287154;;bau;7049;272;bau;14285;517;bauk;
287168;;lembah;7091;272;lembah;7952;334;lembah ;dailyCheck
287169;;mantel;7094;272;mantel;13154;429;mantel;dailyCheck
287170;;menang;7098;272;menang;8246;334;menang;dailyCheck
287171;;kondisi;7100;272;kondisi/keadaen ;8255;334;kondisi ;dailyCheck
287176;;kesepakatan;7088;272;kesepakaten;14244;560;sepakat;
287177;;keberhasilan;7086;272;kebekhhasilen;7590;319;keberhasilan;dailyCheck
287178;;istilah;7080;272;misal;7882;334;misal;checkData
287179;;berenang;7071;272;khidi/langi/keneng;16139;324;berenang;
287180;;sebaliknya;7069;272;sebalikne;13075;486;sebaliknya ;dailyCheck
287181;;bahu;7061;272;bakhe;8227;334;baru;dailyCheck
287183;;luas;7058;272;mbelang;8194;334;lebar;dailyCheck
287184;;shop;7060;272;sop;14587;443;sop;
287186;;istri;7070;272;bekhu/okhang khumah;13073;552;istri/orang rumah atau keluarga ;dailyCheck
287187;;kapas;7079;272;kapas;9856;212;kapas;dailyCheck
287189;;Lahir;7087;272;lahekh;14331;560;lahir;
287199;;bersinar;7154;272;mecahaye;8001;334;bercahaya ;dailyCheck
287200;;membuang;7620;319;capakken;8969;472;buang kan;dailyCheck
287202;;sembilan;7622;319;siwah;10370;436;sembilan;dailyCheck
287203;;kesempatan;7171;272;kesempaten;7787;319;kesempatan ;dailyCheck
287204;;menentukan;7181;272;menentuken;10690;438;menentukan;dailyCheck
287205;;penyebaran;7192;272;penyebakhen;14229;555;penyebaran ;
287207;;menciptakan;7613;319;ciptaken;9875;434;ciptakan, maksudnya menciptakan sesuatu tergantug pada personilnnya;dailyCheck
287208;;benua;7609;319;lauten;8173;334;laut;dailyCheck
287209;;garam;7129;279;sikhe;8269;334;garam;dailyCheck
287211;;hidung;7608;319;igung;7871;334;hidung;dailyCheck
287213;;kemarahan;7614;319;emosi;7901;334;emosi ;dailyCheck
287216;untuk menempatkan dalam posisi atau kondisi tertentu;melempar;7128;279;kebok;7945;334;kebok;dailyCheck
287218;untuk menahan diri dari memberikan, memberi, atau mengizinkan;ditahan;7138;279;nipenjakhe;8106;334;di penjara ;dailyCheck
287219;untuk memberikan presentasi publik atau pameran;dilakukan;7143;279;ni bahani;8211;334;di uat;dailyCheck
287220;untuk memisahkan bagian atau memisahkan dengan paksa : rend;air mata;7602;319;Lawe mate;7918;334;air mata ;dailyCheck
287221;untuk tetap tidak terlihat;bersembunyi;7601;319;cebunik;10933;533;sembuyi;dailyCheck
287223;untuk berbaring atau menyebar di atas atau di seberang;dilapis;7598;319;lapisi;10404;429;lapisan;checkData
287226;untuk mengamati sebagai penonton;menonton;7197;272;menonton;10702;421;menonton;dailyCheck
287227;nomor urut;ke dua puluh lima;7194;272;ke duwe puluh lime;9538;460;ke 25;dailyCheck
287228;untuk berbaring atau menyebar di atas atau di seberang;tumpang tindih;7647;328;tumpang tindih;10537;472;tukang tindih;dailyCheck
287229;menjadi atau menyebabkan berhubungan dengan sesuatu;menyentuh;7631;328;gamit;14761;517;mencolek;
287230;melahirkan atau melahirkan sebagai hasil alam terutama sebagai hasil budidaya;menghasilkan;7633;328;menghasilken;14763;517;Menghasilkan ;
287232;untuk mengirim atau mendorong dengan kekuatan besar;melemparkan;7635;328;gewokh;13052;552;lempar;dailyCheck
287233;nomor urut;dua puluh satu;7637;328;due puluh sadek;13171;420;dua puluh satu;dailyCheck
287236;untuk menyiksa atau membunuh dengan memasang pada tiang yang tajam;tertusuk;7642;328;cucuk;13251;420;tusuk/ tertusuk,/ di tusuk ;dailyCheck
287237;untuk mengejar dan sering lulus;disusul;7646;328;niulihi;13233;420;di pulangkan ;dailyCheck
287238;untuk memberikan presentasi publik atau pameran;melakukan;7640;319;bahani;10577;465;kerjakan;dailyCheck
287239;memberi atau menawarkan secara bebas;pembayaran;7659;328;pemayakhen;9236;472;pembayaran;dailyCheck
287240;"untuk meletakkan tangan di atas dengan cara atau derajat apapun; terutama - untuk melakukan kekerasan atas";tersentuh;7227;272;mekhase ate;13102;486;terasa hati;dailyCheck
287241;untuk mendapatkan kemenangan: menang;kemenangan;7223;272;kemenangen;13464;525;kemenangan;dailyCheck
287242;untuk menghasilkan kontrol;menyerahkan;7215;272;menyekhahken;14608;438;menyerahkan;
287243;gemetar tanpa sadar (seperti ketakutan atau kedinginan): menggigil;gemetar;7212;272;getekhen;7878;334;getaran;dailyCheck
287244;untuk mendapatkan kemenangan: menang;menang;7207;272;menang;13478;525;menang;dailyCheck
287245;untuk memisahkan biji dari sekam dan jerami dengan cara dipukul;perontokan;7214;272;kegugukhen;8208;334;teguran ;dailyCheck
287246;untuk memikirkan dan bertindak terhadap (seseorang atau sesuatu) dengan cara tertentu;diperlakukan;7216;272;nipekhlakuken;8000;334;di perlakukan ;dailyCheck
287247;marah, menggulingkan;membanjiri;7670;328;membanjikhi;12923;560;membanjiri;checkData
287248;untuk mengambil kembali atau pergi;ditarik;4809;214;ni takhik;7954;334;di tarik;dailyCheck
287249;untuk merayakan kemenangan atau kesuksesan dengan bangga atau gembira;menang;7666;328;menang;10692;400;menang iya kita memenang kan sebuah pertandingan atau mengrjuarai perlombaan yg di adakan;dailyCheck
287251;untuk menjatuhkan dengan kekerasan;lempar;7669;328;gewokh;14112;433;lempar;
287252;memberi atau menawarkan secara bebas;membayar;7664;319;bayakhi;12886;560;bayari;dailyCheck
287253;untuk menangani (sesuatu, seperti alat) secara efektif;memegang;7661;328;menggamit;9371;407;memegang;dailyCheck
287254;untuk mengambil kembali atau pergi;menarik diri;7655;319;undukhken diri ;8193;334;undur diri ;dailyCheck
287255;melahirkan atau melahirkan sebagai hasil alam terutama sebagai hasil budidaya;hasil;7654;319;ulih;13457;378;hasil;dailyCheck
287256;keinginan dengan harapan pencapaian atau pemenuhan;harapan;7652;319;hakhapen;9839;434;harapan, harapan itu ialah impian seseorang;dailyCheck
287257;menjadi penuh harapan;menonton;7651;319;ngato;15687;522;nonton;
287258;marah, menggulingkan;begitu banyak;7650;319;mbue su;14060;552;banyak sekali ;
287259;untuk menempatkan dalam posisi atau kondisi tertentu;pelemparan;7648;319;kebok'i;14311;560;lempari;
287260;memiliki keengganan yang kuat untuk: merasa sangat tidak menyenangkan;membenci;4834;214;membenci;5945;171;membenci;dailyCheck
287261;menyerah pada keinginan untuk sesuatu;dimanjakan;7645;319;nimanje;7953;334;domanjaa;dailyCheck
287274;untuk melihat;jam tangan;7251;272;jam tangan;7946;334;jam tangan ;dailyCheck
287275;menyebabkan kejatuhan : menjatuhkan, mengalahkan;menjatuhkan;7249;272;mendabuhken;8217;334;menjatuhkan ;dailyCheck
287276;"untuk meletakkan tangan di atas dengan cara atau derajat apapun; terutama - untuk melakukan kekerasan atas";menyentuh;7247;272;gamit;7883;334;sentuh;dailyCheck
287277;memiliki tanggung jawab;jam tangan;7246;272;jam tangan;14853;485;jam tangan ;
287278;membatalkan, menghancurkan;menjungkirbalikkan;7248;272;menjungkikh balikken;10255;434;jungkir balik, maksudnya ini terkadang bisa jadi pri bahasa ;dailyCheck
287279;nomor urut;dua puluh empat;7250;272;duwe puluh empat;8191;334;dua puluh empat ;dailyCheck
287280;bilangan pokok;ribu;7252;272;khibu;8247;334;ribu;dailyCheck
287293;untuk pergi dengan sebagai rekan atau pendamping;menemani;7738;334;ngimbangi;8559;458;ngawani;dailyCheck
287294;untuk mengalahkan dalam pikiran atau perasaan;begitu banyak;7688;319;mbue ne;10367;436;banyaknya;dailyCheck
287295;untuk terlibat atau melanjutkan;gaji;7692;319;gaji;7957;334;haji;dailyCheck
287296;pasangan pria dalam pernikahan;suami;7693;319;laki;8058;334;laki;dailyCheck
287297;hewan berkuku besar yang terutama memakan rumput dan digunakan sebagai hewan pekerja dan untuk berkuda;kuda;7697;319;kude;8235;334;kuda;dailyCheck
287298;untuk mengalahkan dalam pikiran atau perasaan;menguasai;7698;319;ngedep;10453;412;mengendap ;dailyCheck
287299;menyebabkan kejatuhan : menjatuhkan, mengalahkan;terguling;7699;319;meguling;7895;334;guling;dailyCheck
287300;untuk merayakan kemenangan atau kesuksesan dengan bangga atau gembira;kemenangan;7700;319;menang;8278;334;menang ;dailyCheck
287301;memberi atau menawarkan secara bebas;dibayar;7703;319;bayarken;7916;334;bayaran;dailyCheck
287302;untuk memberikan bantuan atau dukungan kepada (seseorang): untuk menyediakan (seseorang) dengan sesuatu yang berguna atau diperlukan dalam mencapai kata kerja akhir;Tolong;7705;319;tulong;10597;477;tolong;checkData
287303;memiliki keengganan yang kuat untuk: merasa sangat tidak menyenangkan;dibenci;7297;272;nibenci;7778;319;di benci;dailyCheck
287304;untuk melihat ke depan dengan penuh harap;menunggu;7294;272;nimai;8182;334;menunggu ;dailyCheck
287305;untuk memisahkan biji dari sekam dan jerami dengan cara dipukul;mengirik;7280;272;mengikhik;15511;522;mengiri hati;
287306;untuk menanggung atau memiliki pada orang tersebut;memakai;7277;272;memakek;11828;526;memakai;dailyCheck
287307;untuk mengalahkan dalam pikiran atau perasaan;kewalahan;7276;272;kuwalahen;13868;535;kewalahan ;
287308;bilangan pokok;dua puluh satu;7279;272;duwe puluh sadek;12678;378;dua puluh satu;dailyCheck
287309;menyebabkan kejatuhan : menjatuhkan, mengalahkan;menggulingkan;7293;272;menggulingken;8183;334;menghilangkan ;dailyCheck
287310;nomor urut;keduabelas;7296;272;keduwe belas;12795;438;ke dua belas;dailyCheck
287311;keinginan dengan harapan pencapaian atau pemenuhan;berharap;7702;319;siharapken;9673;478;harap harap haaraoan;dailyCheck
287313;untuk memisahkan bagian atau memisahkan dengan paksa : rend;merobek;7706;319;uakken;15869;324;koyak kan;
287314;untuk menjatuhkan dengan kekerasan;melemparkan;7726;334;capakken;12801;472;campak kan;dailyCheck
287315;menjadi penuh harapan;jam tangan;7725;334;jam;15140;575;jam;
287316;untuk melemparkan atau mengangkat terus-menerus tentang, ke sana kemari, atau ke atas dan ke bawah;dilempar;7724;334;ni capak;10807;485;ni capak ken;dailyCheck
287317;menyerah pada keinginan untuk sesuatu;memanjakan;7722;334;manjeken;12665;378;manja;dailyCheck
287318;pasangan pria dalam pernikahan;milik suami;7718;334;pung laki;15205;443;kemaluan laki laki;
287320;untuk menarik ke bawah, memecah: menghancurkan;merobek;7715;334;muakken;15306;443;mengkoyakan;
287324;untuk terlibat atau melanjutkan;upah;7754;319;gaji;8242;334;ganji;dailyCheck
287325;merasakan permusuhan yang ekstrem terhadap: menganggap dengan permusuhan aktif;dibenci;7755;319;munyang;14624;517;Benci;
287326;untuk menghilangkan dari pandangan: menyembunyikan;bersembunyi;7756;319;cebunik;8248;334;sembunyi;dailyCheck
287327;untuk mengejar dan sering lulus;menyalip;7757;319;sebeng;15725;522;menyimpang;
287329;bilangan pokok;dua puluh tujuh;7760;319;due puluh pitu;10487;438;dua puluh tujuh;dailyCheck
287331;untuk mengirim atau mendorong dengan kekuatan besar;dilempar;7774;340;ni kebok;10397;434;di lempar;dailyCheck
287332;untuk berbaring atau menyebar di atas atau di seberang;overlay;7770;340;over sinak;12762;536;oper sinak;dailyCheck
287334;untuk menyiksa atau membunuh dengan memasang pada tiang yang tajam;menusuk;7749;340;menucuk;8056;334;mencoblos ;dailyCheck
287335;untuk mengambil kembali atau pergi;menarik;7746;340;takhii;15098;443;menari-nari;
287336;untuk menjatuhkan dengan kekerasan;dilempar;7744;340;ni kebok;15155;575;di ngembok;
287339;bilangan pokok;dua puluh lima;7747;340;due puluh lime;12707;533;dua puluh lima;dailyCheck
287340;memiliki tanggung jawab;menonton;7751;340;mengato;10186;406;menonton;dailyCheck
287341;untuk membersihkan oleh atau seolah-olah dengan tindakan cairan (seperti air);dicuci;7766;340;nisesah;13131;420;di cuci;dailyCheck
287342;terpengaruh dengan ketakutan atau kecemasan yang besar;gemetaran;7773;340;gemetekhen;8986;472;gemetaran;dailyCheck
287344;membatalkan, menghancurkan;menggulingkan;7820;344;memutar;10448;412;memutekhek;dailyCheck
287346;untuk tetap tidak terlihat;sembunyikan;7817;344;cunikken;8197;334;sembunyikan ;dailyCheck
